fsa,observations,peak_hours,peak_rate_pct
L4T,35064,1162,3.3139402235911475
M5R,35064,1236,3.5249828884325805
M5S,35064,1120,3.1941592516541184
M6G,35064,1978,5.641113392653434
M9R,35064,1502,4.283595710700434
M9W,35064,6786,19.35318275154004
