parameter_id,fold,horizon,n_estimators,num_leaves,learning_rate,max_depth,min_child_samples,subsample,colsample_bytree,reg_lambda,mae,rmse,mape,wape,bias,n_observations
1,fold_2023,1,300,31,0.05,-1,20,0.8,0.8,0.0,515.5654044798202,935.1490264518069,4.91878253037812,5.713633341049224,-346.05505815665913,52416
1,fold_2023,12,300,31,0.05,-1,20,0.8,0.8,0.0,757.7253622981157,1341.614991925716,7.117084455214558,8.396356933377746,-458.620169941053,52416
1,fold_2023,24,300,31,0.05,-1,20,0.8,0.8,0.0,718.3910646667882,1260.8867493040614,7.040739269975427,7.959231473023847,-303.3208356187567,52416
1,fold_2024,1,300,31,0.05,-1,20,0.8,0.8,0.0,324.3490740555841,477.6481812819084,3.653289752326741,3.5356122079863566,-62.54027434217475,52560
1,fold_2024,12,300,31,0.05,-1,20,0.8,0.8,0.0,513.7169286080203,847.8777369331572,5.466537909641957,5.599867816891352,-40.99064602493883,52560
1,fold_2024,24,300,31,0.05,-1,20,0.8,0.8,0.0,573.8838245685088,941.8753599905017,6.101006495022595,6.2561143013147085,-4.317462541293222,52560
2,fold_2023,1,400,63,0.05,-1,30,0.8,0.8,0.5,512.5110060876248,966.3545235320075,4.779305298763009,5.679783683297065,-346.98062254002843,52416
2,fold_2023,12,400,63,0.05,-1,30,0.8,0.8,0.5,732.6708341717782,1306.467790705238,6.823729705447916,8.118727634672398,-439.69517785790896,52416
2,fold_2023,24,400,63,0.05,-1,30,0.8,0.8,0.5,727.6239182584807,1269.1777370855848,7.123429161521957,8.06152453109091,-292.04339686466744,52416
2,fold_2024,1,400,63,0.05,-1,30,0.8,0.8,0.5,289.35128955651356,436.62174004636404,3.2122605369433948,3.154113988860304,-68.36688141297482,52560
2,fold_2024,12,400,63,0.05,-1,30,0.8,0.8,0.5,491.70754641185584,835.3232250336529,5.133010311297124,5.359950414589809,-56.51701350659676,52560
2,fold_2024,24,400,63,0.05,-1,30,0.8,0.8,0.5,567.7903509526424,951.9256963907468,5.976960375915223,6.18968715038121,1.962172733238415,52560
3,fold_2023,1,300,63,0.08,-1,40,0.9,0.9,1.0,508.2385371161813,960.885556735423,4.71535622129207,5.632435042461734,-342.6685780692675,52416
3,fold_2023,12,300,63,0.08,-1,40,0.9,0.9,1.0,747.8786881630595,1331.5026993741117,6.955020998586006,8.287245908779282,-444.9321050933411,52416
3,fold_2023,24,300,63,0.08,-1,40,0.9,0.9,1.0,736.7122182618098,1273.4742015402103,7.260238409984949,8.162216044363463,-262.2051174273958,52416
3,fold_2024,1,300,63,0.08,-1,40,0.9,0.9,1.0,289.9162633439112,438.0779425828225,3.2062134053902023,3.160272564233863,-72.26158845042124,52560
3,fold_2024,12,300,63,0.08,-1,40,0.9,0.9,1.0,492.2977345667356,842.9197455079903,5.12126458034712,5.366383871364101,-58.4872716332924,52560
3,fold_2024,24,300,63,0.08,-1,40,0.9,0.9,1.0,566.6198778214587,949.1629718464095,5.983198346464463,6.176927401139612,12.217095666027532,52560
4,fold_2023,1,500,31,0.03,-1,30,0.9,0.9,1.0,523.6345552734219,953.5250461895032,4.99105312272596,5.803057822613872,-344.1573274951399,52416
4,fold_2023,12,500,31,0.03,-1,30,0.9,0.9,1.0,754.4116197768809,1330.2087252088843,7.109529592292524,8.359637342906058,-446.07885368719684,52416
4,fold_2023,24,500,31,0.03,-1,30,0.9,0.9,1.0,703.4095062466424,1231.5939640330805,6.936855027328972,7.793247098833617,-272.4243224429992,52416
4,fold_2024,1,500,31,0.03,-1,30,0.9,0.9,1.0,324.6178053484905,478.7418894647574,3.652077479466382,3.5385415508329,-65.76654655275763,52560
4,fold_2024,12,500,31,0.03,-1,30,0.9,0.9,1.0,512.583668127191,845.9782238366445,5.455228969710525,5.587514498280757,-45.896094485833274,52560
4,fold_2024,24,500,31,0.03,-1,30,0.9,0.9,1.0,571.5419034359859,945.36858009687,6.06381389944243,6.230584175420772,-18.66233024105282,52560
