fold,fsa,mae,rmse,mape,wape,bias,n_observations
fold_2023,L4T,613.5183385753503,1028.9392363210209,4.998302584937985,5.426739360117107,-163.017358082795,209664
fold_2023,M5R,402.5105410637017,585.2789131951055,5.247050989723803,5.403277757385016,53.8314213087811,209664
fold_2023,M5S,191.41953864697533,267.3391362999819,4.725249365173935,4.801171308922707,3.6164534848901524,209664
fold_2023,M6G,644.1352576716298,993.756400080254,5.182485172177608,5.551233096175581,-388.5047172992967,209664
fold_2023,M9R,366.8540711720238,615.3840523764085,6.091846169912669,6.618215793656039,83.39231501372281,209664
fold_2023,M9W,1927.8617714955694,2533.200039285744,12.805576836313909,13.520122703561105,-1885.792602495039,209664
fold_2024,L4T,615.1707789899303,1010.6466934079936,4.870660339438263,5.288751730922901,-118.71647312247983,210240
fold_2024,M5R,381.39929964727975,546.8583635450162,5.018271302229821,5.081520062449281,5.267053679104941,210240
fold_2024,M5S,193.26353859179196,273.5899921376269,4.848614261532929,4.83100461385168,37.4804696084809,210240
fold_2024,M6G,569.3287301423137,855.2452046274836,4.719746869719145,4.871726966004028,-119.94601552820683,210240
fold_2024,M9R,349.37722841160996,593.1915311626162,5.64564364653978,6.1166858582935415,-52.09532207112277,210240
fold_2024,M9W,717.0043196884764,1166.6899113776885,4.6808243584263,4.943007628335143,-14.790702207793226,210240
