fold,fsa,mae,rmse,mape,wape,bias,n_observations
fold_2023,L4T,653.9353874704922,1079.8074918867771,5.412622027515673,5.784239334067936,-173.13235348758536,209664
fold_2023,M5R,410.5760471187959,593.211358999252,5.362847746093906,5.511548634849186,62.49110535818433,209664
fold_2023,M5S,191.67288829118777,268.5162411286942,4.715872088637945,4.807525806752533,5.485750676715191,209664
fold_2023,M6G,674.6360826042835,1036.5593765606145,5.438790332298179,5.814092777912053,-446.1040847727086,209664
fold_2023,M9R,356.2556200921754,603.3999285262023,5.9348799699249035,6.42701487253541,1.5097673434768641,209664
fold_2023,M9W,2163.29060422038,2815.137413362541,14.321371291887614,15.171188539015853,-2137.791838200887,209664
fold_2024,L4T,624.012389796241,1009.3805114710048,4.967409662367155,5.364764906536998,-147.8968856913713,210240
fold_2024,M5R,387.0640708407746,552.2399370203294,5.0948218406535855,5.15699384673664,-1.2433699616268246,210240
fold_2024,M5S,194.68848443726606,276.2130413425852,4.865654731527487,4.866623955213913,36.69202068950125,210240
fold_2024,M6G,561.0793700660926,837.8905220749555,4.67418234311421,4.801137466813363,-97.10981189373602,210240
fold_2024,M9R,355.5508797000786,592.8639035912626,5.781628649499515,6.224770422653652,-45.33198671802539,210240
fold_2024,M9W,704.6554797897455,1141.0492883706454,4.603682297579933,4.8578750731407245,-73.36016892292365,210240
