fold,mae,rmse,mape,wape,bias,n_observations
fold_2023,741.7277716328858,1351.143366358355,6.864397242726371,8.218963272615328,-447.92360884713406,1257984
fold_2024,471.17511243836645,791.1650926367047,4.997896587456982,5.136220229571772,-54.70836708303033,1261440
