fold,horizon,target,mae,rmse,mape,wape,bias,n_observations
fold_2023,1,target_h01,516.5638401147938,950.9286460065949,4.831500025930664,5.7246982710916745,-385.6553623502217,52416
fold_2023,2,target_h02,547.5520495255206,996.6319628722969,5.0826080879893905,6.068066513011181,-404.5731469551431,52416
fold_2023,3,target_h03,576.6573442126078,1039.9759406251742,5.358133206550654,6.3905719416261535,-418.178905978919,52416
fold_2023,4,target_h04,605.7489108904232,1108.4855782349173,5.566405128458976,6.712922642868009,-431.3886577368655,52416
fold_2023,5,target_h05,634.7464616712633,1141.4482083250846,5.884837582684664,7.03422257612305,-450.34941902579845,52416
fold_2023,6,target_h06,651.4380191816953,1186.265668040124,5.991124880218766,7.219136954653766,-451.8179067357847,52416
fold_2023,7,target_h07,686.1905981741545,1246.447151894131,6.300874411157073,7.604188784330409,-465.65363855326996,52416
fold_2023,8,target_h08,710.5111253284272,1318.5253498076406,6.477126872854003,7.873624281039501,-481.6210434034484,52416
fold_2023,9,target_h09,734.853853016575,1345.0680999211393,6.711090630955939,8.14328345502449,-494.80742675352735,52416
fold_2023,10,target_h10,764.2822533939348,1406.972588353144,6.948532805947671,8.469267685068868,-513.471869232774,52416
fold_2023,11,target_h11,809.1662538959283,1465.3302619288163,7.336338095545575,8.96650438272244,-542.4394866132911,52416
fold_2023,12,target_h12,791.145993373624,1440.1692612511226,7.221364378572913,8.766691043084242,-511.2004538809714,52416
fold_2023,13,target_h13,819.0748592586308,1492.8036561466897,7.433766092532186,9.076040682468737,-537.4523072229928,52416
fold_2023,14,target_h14,832.3515707265182,1508.8371032600257,7.548044269496809,9.22302288937176,-541.318796826224,52416
fold_2023,15,target_h15,837.8953002901741,1529.0675523123912,7.583947522644287,9.284313760872026,-522.9940180153201,52416
fold_2023,16,target_h16,823.3485933166429,1498.228059362298,7.509374673143081,9.12297522575235,-490.4611372522674,52416
fold_2023,17,target_h17,822.9391504560199,1483.4662292631547,7.568584403624805,9.118265247655204,-470.7383536193251,52416
fold_2023,18,target_h18,825.5032520820516,1474.7154384057126,7.6488453643599446,9.14651727101625,-461.14096827058705,52416
fold_2023,19,target_h19,816.1015089852469,1455.8438508878046,7.615513910040733,9.042205117598398,-421.42323476397803,52416
fold_2023,20,target_h20,812.2923143491639,1433.065517753775,7.705378890364803,8.999886753103997,-378.51573753682976,52416
fold_2023,21,target_h21,815.5040814289098,1438.400664005905,7.725719489134004,9.035387435528833,-378.0071262392224,52416
fold_2023,22,target_h22,807.983279299707,1448.1921720708092,7.642945965064264,8.95198929978536,-361.2481230478438,52416
fold_2023,23,target_h23,786.9105156177711,1386.6853558223988,7.578756700324181,8.718452353360542,-337.09081980573677,52416
fold_2023,24,target_h24,772.7053905994755,1366.8958969860657,7.474720437837501,8.56099326219648,-298.618672510876,52416
fold_2024,1,target_h01,301.99822373202943,445.6106997409462,3.4038684837706974,3.2919736543911853,-73.31059572542094,52560
fold_2024,2,target_h02,320.8569508359494,479.8942948101232,3.569598804963814,3.4975655356068405,-71.24077447388996,52560
fold_2024,3,target_h03,343.76198405319514,525.6990269994274,3.7645790529435805,3.7472744688826096,-67.63552860161303,52560
fold_2024,4,target_h04,363.52274668514997,568.5161019141469,3.9420654357015703,3.962710476229962,-67.70196988319152,52560
fold_2024,5,target_h05,387.1213156132575,616.6622177001927,4.1377956138499234,4.219977654145647,-76.00402418813023,52560
fold_2024,6,target_h06,406.77370271122436,655.2615928642537,4.3340207998069955,4.434220271500088,-67.30349123602043,52560
fold_2024,7,target_h07,426.18310025428525,692.6093655852295,4.526044434656215,4.645802215699138,-66.51672824528664,52560
fold_2024,8,target_h08,440.09946692433346,724.4636629893837,4.655324355458027,4.797484028324299,-68.53330881708108,52560
fold_2024,9,target_h09,454.587705688941,753.6842917368472,4.80436871049089,4.95538413676011,-60.75498186735621,52560
fold_2024,10,target_h10,470.9320721175428,782.732911316605,4.957078114674179,5.1335202880984445,-58.788505906753876,52560
fold_2024,11,target_h11,484.0331293347038,806.7434682245091,5.084547872464626,5.276307265289509,-63.66708230586175,52560
fold_2024,12,target_h12,492.1795203240567,822.9896200215197,5.1608786404493925,5.36509525482022,-64.35416744609583,52560
fold_2024,13,target_h13,500.34160646760847,840.2565853745679,5.23837611781049,5.454062547425194,-68.08196065359827,52560
fold_2024,14,target_h14,508.85218048142156,855.7112609635193,5.331736948510557,5.546848187865991,-58.20940972129323,52560
fold_2024,15,target_h15,514.3378738110687,862.4383165087544,5.406917871501723,5.606666075827289,-56.566502474664375,52560
fold_2024,16,target_h16,523.4371203306712,881.9266841561118,5.483931952582871,5.705867037732615,-55.40746860080294,52560
fold_2024,17,target_h17,529.2516626701181,890.4228503752786,5.560103348094375,5.769255765248187,-46.656327177422234,52560
fold_2024,18,target_h18,535.8458327387748,904.476152459373,5.639292973273586,5.841155404638957,-41.27767718217871,52560
fold_2024,19,target_h19,539.56232927993,905.9764789086622,5.68750742128288,5.881698765252185,-43.94131299162564,52560
fold_2024,20,target_h20,546.4416006288571,916.3914501927233,5.7783527289294705,5.956732896969567,-31.2975238631668,52560
fold_2024,21,target_h21,550.7178799238742,921.0935058797735,5.822626044154528,6.0034160867412565,-38.06585990545775,52560
fold_2024,22,target_h22,553.3071776972151,929.0837060106118,5.865729458812765,6.031712525340032,-23.340947432844615,52560
fold_2024,23,target_h23,555.0620630449502,925.4023879787387,5.881259313775367,6.050898966575767,-26.234895024176243,52560
fold_2024,24,target_h24,558.9954531716357,933.69100261315,5.913513601009024,6.093810801491735,-18.109766268795493,52560
