fold,year,month_number,month_name,fsa,observations,mae,mape,mean_residual,actual_mean,predicted_mean
fold_2023,2023,1,Ene.,L4T,17856,315.6432593834443,2.841020140755224,68.56363150757272,11266.489829749104,11197.927
fold_2023,2023,2,Feb.,L4T,16128,402.21958870660694,3.508376206254632,43.290674100603354,11317.397371031746,11274.107
fold_2023,2023,3,Mar.,L4T,17856,384.96401119984176,3.5566852265391264,70.46800728527873,10798.958204525088,10728.49
fold_2023,2023,4,Abr.,L4T,17280,406.336857921459,4.111836923182054,212.8328920378508,9954.833657407407,9742.001
fold_2023,2023,5,May.,L4T,17856,509.72359029024733,4.899374714978025,317.984653754559,9962.615540994624,9644.631
fold_2023,2023,6,Jun.,L4T,17280,975.7676596238878,7.910779347372213,176.0873318198875,12019.116024305556,11843.028
fold_2023,2023,7,Jul.,L4T,17856,1464.8821867693282,10.196560636137777,-27.293180732316856,14512.347278225807,14539.641
fold_2023,2023,8,Ago.,L4T,17856,1168.4412012462546,9.211665565080219,40.38707346488923,12565.72422155018,12525.337
fold_2023,2023,9,Set.,L4T,17280,1070.0713804739494,7.883412656422503,661.229687765616,11511.567204861112,10850.338
fold_2023,2023,10,Oct.,L4T,17856,439.4843371757043,4.275595999655267,175.80079979024904,10010.141969086022,9834.342
fold_2023,2023,11,Nov.,L4T,17280,355.433196315059,3.38810882483186,197.62059636433924,10584.115023148148,10386.494
fold_2023,2023,12,Dic.,L4T,17280,325.4921185811361,2.9575926969600523,145.05606726187247,11120.335358796296,10975.279
fold_2023,2023,1,Ene.,M5R,17856,328.6324806732943,3.836141404438618,-14.901415660133502,8673.548207885306,8688.45
fold_2023,2023,2,Feb.,M5R,16128,604.8352763342479,7.021339201089185,-225.49607387724376,8712.58728918651,8938.083
fold_2023,2023,3,Mar.,M5R,17856,476.0233675392725,6.071036969516962,-217.54749205667915,7979.833954973118,8197.382
fold_2023,2023,4,Abr.,M5R,17280,311.60614450807924,4.730483554408149,-85.98397994712545,6643.057459490741,6729.0415
fold_2023,2023,5,May.,M5R,17856,251.11637323304316,3.9057686557334526,-11.822209134665885,6147.907879704301,6159.7305
fold_2023,2023,6,Jun.,M5R,17280,414.247374098036,5.597292863853023,-114.16446594238279,7078.183958333333,7192.3486
fold_2023,2023,7,Jul.,M5R,17856,633.5090511198966,7.358010929473609,-3.180322528141758,8470.01807235663,8473.198
fold_2023,2023,8,Ago.,M5R,17856,511.0725143569345,7.133370026433185,-240.30994316565946,7163.340260976703,7403.65
fold_2023,2023,9,Set.,M5R,17280,482.3163065875018,6.057649848649381,149.5291684468588,6820.7644386574075,6671.2354
fold_2023,2023,10,Oct.,M5R,17856,288.8571466179304,4.404656924578604,-20.236599537292282,6441.30571796595,6461.542
fold_2023,2023,11,Nov.,M5R,17280,322.4204466643157,4.293956460154002,44.73512042010272,7481.561892361111,7436.8267
fold_2023,2023,12,Dic.,M5R,17280,314.36821061310945,4.037302264011352,-16.94700421933773,7858.64152199074,7875.589
fold_2023,2023,1,Ene.,M5S,17856,175.34532423121954,3.7597477211105144,79.69888818118734,4650.859951836917,4571.1606
fold_2023,2023,2,Feb.,M5S,16128,239.8934589900668,5.028518207007098,46.33799145108177,4679.443303571428,4633.105
fold_2023,2023,3,Mar.,M5S,17856,202.45537152307435,4.626354787994551,15.01478913283263,4377.815955421147,4362.8013
fold_2023,2023,4,Abr.,M5S,17280,157.76817034403484,4.30483813912915,-34.35789114775481,3651.4397800925926,3685.7976
fold_2023,2023,5,May.,M5S,17856,118.99890167072256,3.5014895563601516,0.842395257437105,3299.039096102151,3298.1968
fold_2023,2023,6,Jun.,M5S,17280,199.78565761142306,5.186659616485414,-46.01948803654424,3728.96453125,3774.9841
fold_2023,2023,7,Jul.,M5S,17856,284.09349240538893,6.493314590725551,-19.359986407098805,4329.749176747312,4349.1094
fold_2023,2023,8,Ago.,M5S,17856,240.10946914782232,6.251497440113666,-97.61140196605395,3794.6927587365594,3892.3042
fold_2023,2023,9,Set.,M5S,17280,232.89662540011938,5.7235575793559725,48.59322532371239,3706.5295428240743,3657.9363
fold_2023,2023,10,Oct.,M5S,17856,141.99656719905076,4.069436077686823,-27.947995941271493,3491.2449596774195,3519.1929
fold_2023,2023,11,Nov.,M5S,17280,155.87877090454103,3.8627914691671466,8.163335701271327,4047.474508101852,4039.311
fold_2023,2023,12,Dic.,M5S,17280,153.63549489904335,3.7895493650051377,-35.179659938105836,4131.396979166667,4166.5767
fold_2023,2023,1,Ene.,M6G,17856,528.6058345562241,4.073652744263659,409.25775727302795,13119.502032930108,12710.244
fold_2023,2023,2,Feb.,M6G,16128,758.9794075072758,5.532686267594757,605.440128889538,13279.307056051586,12673.867
fold_2023,2023,3,Mar.,M6G,17856,661.562501750112,5.292873690423275,538.4295931689628,12383.180488351256,11844.751
fold_2023,2023,4,Abr.,M6G,17280,473.23422133834276,4.491290655797645,326.18906381112555,10412.371979166668,10086.184
fold_2023,2023,5,May.,M6G,17856,403.67205824766535,3.906177896140004,187.3448300597488,9593.109184587813,9405.765
fold_2023,2023,6,Jun.,M6G,17280,767.9558187753183,6.298972549937911,499.89725123652704,11262.53634837963,10762.639
fold_2023,2023,7,Jul.,M6G,17856,1362.484180890702,9.58383554907517,927.6452986850533,13622.771102150538,12695.125
fold_2023,2023,8,Ago.,M6G,17856,814.7839344147712,6.873048321566947,306.096324989018,11520.954217069893,11214.857
fold_2023,2023,9,Set.,M6G,17280,922.6562385785138,6.8218423270476185,698.1706085713705,10769.38038773148,10071.21
fold_2023,2023,10,Oct.,M6G,17856,430.1736441007224,4.078889050803635,233.23233331933244,9929.511211917563,9696.278
fold_2023,2023,11,Nov.,M6G,17280,527.6908483999747,4.542822226697232,408.7648281860351,11394.313709490742,10985.549
fold_2023,2023,12,Dic.,M6G,17280,444.34166907416454,3.736461261967292,225.89068106192127,12048.061689814815,11822.171
fold_2023,2023,1,Ene.,M9R,17856,204.80526372984747,3.601274037477684,-29.804586611511866,5687.111883960573,5716.9165
fold_2023,2023,2,Feb.,M9R,16128,266.85355861300513,4.671206171949681,-17.551100779336593,5632.706708829365,5650.258
fold_2023,2023,3,Mar.,M9R,17856,227.37507841322156,4.206867239476952,-61.90301738178431,5367.160915098566,5429.064
fold_2023,2023,4,Abr.,M9R,17280,231.94805923179345,4.798432034585229,-63.34950076915598,4841.845688657408,4905.1953
fold_2023,2023,5,May.,M9R,17856,260.38623217784374,5.162148213261193,51.988024068306,4708.6429323476705,4656.655
fold_2023,2023,6,Jun.,M9R,17280,468.2085079164858,7.611014062010869,-34.35551888359922,5786.732152777778,5821.0874
fold_2023,2023,7,Jul.,M9R,17856,811.7367943685115,11.028960995993307,-36.99670803111087,7232.805813172043,7269.8022
fold_2023,2023,8,Ago.,M9R,17856,629.205724290964,9.920028221016016,-113.00468204457273,6067.386833557348,6180.3916
fold_2023,2023,9,Set.,M9R,17280,520.5471642473009,7.774728846453248,216.97328901785394,5543.8442187499995,5326.8706
fold_2023,2023,10,Oct.,M9R,17856,260.54466664304016,5.261425561009518,-59.55218563831836,4832.905835573476,4892.458
fold_2023,2023,11,Nov.,M9R,17280,180.3817930942112,3.491981120232946,53.221012528031,5177.180827546296,5123.96
