fold,fsa,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
fold_2023,L4T,0.3719876789273419,0.5153112449799196,0.4320740818688835,0.7492299126494308,209664,1.90018315018315,2.632306929181929,0.019902284395967456,0.426744979497383,0.9407233507884123
fold_2023,M5R,0.49233390119250425,0.560077519379845,0.5240253853127833,0.7742392890375793,209664,1.9688644688644688,2.239774114774115,0.014777795227193984,0.5336010538817951,0.9711035798949421
fold_2023,M5S,0.3887785501489573,0.7092391304347826,0.5022450288646568,0.8456712632867097,209664,1.5796703296703296,2.8817536630036633,0.01599570669239449,0.591460606990457,0.9772886304285084
fold_2023,M6G,0.7136746597537265,0.4710814510609172,0.5675411018914601,0.7299617664647132,209664,5.5746336996337,3.6796970390720394,0.03142244298112793,0.6417540300377151,0.9457813591167529
fold_2023,M9R,0.5063698538286174,0.5353750177229548,0.5204686423156444,0.7586035993007921,209664,3.3639537545787546,3.5566430097680097,0.02493645246439691,0.5416075344097834,0.9487485730585729
fold_2023,M9W,0.9832716908146992,0.26887247624703087,0.42227516812753646,0.6320169149451235,209664,51.4041514041514,14.056299603174601,0.3241305571714456,0.9142916956169439,0.9106178956211711
fold_2024,L4T,0.5209996888934979,0.854421768707483,0.6472975584616376,0.9159097491022246,210240,2.7968036529680362,4.586662861491629,0.018746791007080363,0.7338521554650509,0.9882223422252048
fold_2024,M5R,0.35413232870261363,0.8526077097505669,0.5004159041756779,0.9130341849964181,210240,1.678082191780822,4.040144596651446,0.020448169971201635,0.6008001229697456,0.9871508730222355
fold_2024,M5S,0.3901495162708883,0.7766106442577031,0.5193771221168482,0.8799464323398611,210240,1.3584474885844748,2.704052511415525,0.014131087953121452,0.5336844451239724,0.9876666590960345
fold_2024,M6G,0.4512799339388935,0.8565830721003135,0.591130340724716,0.9086108110175777,210240,3.6415525114155254,6.912100456621005,0.03136920215000144,0.6752411833316742,0.9787701162475074
fold_2024,M9R,0.5158050451572719,0.7856973434535104,0.6227674374882497,0.8774404619431986,210240,4.010654490106545,6.109208523592085,0.02725939060779075,0.6641975459593098,0.9781723057525812
fold_2024,M9W,0.5491021409320777,0.8159197264218863,0.6564338335113219,0.8683621693976507,210240,10.570776255707763,15.707286910197867,0.0641595588816173,0.7011646858607965,0.9543005712833119
