fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
fold_2023,1,0.8796610169491526,0.3614835451854431,0.5124028137726768,0.6776993283530113,52416,10.956578144078144,4.502442002442002,0.06354622410096808,0.7605913850636806,0.9556289391271975
fold_2023,2,0.8639767054908486,0.3616576702072088,0.5098809377685037,0.6773257390952055,52416,10.956578144078144,4.586385836385836,0.06430242064286103,0.7459516089926664,0.9527813050201986
fold_2023,3,0.8570824524312897,0.3529514191189274,0.5,0.6728547724009353,52416,10.956578144078144,4.511981074481074,0.06520553879773816,0.7349517240771006,0.9502179760019809
fold_2023,4,0.8576998050682261,0.38307504788438096,0.5296100144439095,0.687627340324253,52416,10.956578144078144,4.893543956043956,0.06244880559517438,0.7413743976289751,0.9519844628384475
fold_2023,5,0.8478618421052632,0.35904579488072436,0.5044648318042814,0.6755591496632748,52416,10.956578144078144,4.63980463980464,0.06513027257698281,0.7151373502345993,0.9449301013185423
fold_2023,6,0.8399014778325123,0.3562597945324743,0.5003056608387333,0.6739518928525504,52416,10.956578144078144,4.647435897435898,0.06538965821564474,0.7024042650576265,0.9402974534996226
fold_2023,7,0.8083264633140973,0.341459167682396,0.4801077243236626,0.6657481170402638,52416,10.956578144078144,4.628357753357753,0.0678516974924714,0.6678320409424422,0.9287169065412662
fold_2023,8,0.7836038285476488,0.327877415984677,0.462312791554137,0.6583680354407562,52416,10.956578144078144,4.584478021978022,0.0696414535750373,0.6435828229261064,0.9212375218593161
fold_2023,9,0.7585794094173982,0.3310116663764583,0.4609043520426718,0.6590245699310997,52416,10.956578144078144,4.780982905982905,0.0708309771915464,0.6245764656124936,0.9147148603997137
fold_2023,10,0.7536780159730979,0.3122061640257705,0.44151686776655996,0.6498253625605253,52416,10.956578144078144,4.538690476190476,0.07230370964036936,0.6115761518918371,0.9135884909139537
fold_2023,11,0.7309152256431886,0.3017586627198328,0.42716292827212227,0.6440445446523981,52416,10.956578144078144,4.523427960927961,0.07401602512192787,0.5895836996012923,0.910207748390735
fold_2023,12,0.704225352112676,0.29596100278551535,0.41676881588624665,0.640331375578565,52416,10.958485958485959,4.6054639804639805,0.07527436711340696,0.5729733741351025,0.9070841080657237
fold_2023,13,0.6932103939647947,0.2879025239338555,0.4068380273029148,0.6361091330217583,52416,10.960393772893774,4.552045177045176,0.0763256505474641,0.5612473572530229,0.9050214509174913
fold_2023,14,0.6563155686109945,0.27218934911242604,0.3847951777586419,0.6273203012971601,52416,10.962301587301587,4.546321733821734,0.07918439791733815,0.5327364046875752,0.8889340427501164
fold_2023,15,0.6808510638297872,0.2895423699321385,0.40629959711878894,0.6364144599451774,52416,10.964209401709402,4.662698412698413,0.07677729272096491,0.5489745047875104,0.8949669416029558
fold_2023,16,0.6783378222393228,0.30671537926235215,0.4224272193602492,0.6444008026850888,52416,10.966117216117215,4.958409645909645,0.0765027691791263,0.5494917050612256,0.8974958380252661
fold_2023,17,0.6806847785634537,0.31808695652173913,0.43356643356643354,0.6498504897896057,52416,10.969932844932845,5.126297313797314,0.07513430107148196,0.5583221419952694,0.8996123441515003
fold_2023,18,0.6704966641957005,0.31449930458970793,0.4281656804733728,0.6477241079780358,52416,10.973748473748474,5.147283272283272,0.07535833568020552,0.5576805143267518,0.8990594875339986
