threshold,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
0.05,0.3691143665090832,0.7214840040951214,0.4883743058784666,0.8108751476428161,2519424,7.4825436290199665,14.625644591779707,0.050577464604432174,0.556495056248552,0.9175804832252802
0.1,0.4195441582011455,0.6609483494857228,0.5132789296115805,0.7934952219146276,2519424,7.4825436290199665,11.787972171416959,0.050577464604432174,0.556495056248552,0.9175804832252802
0.15,0.45388577412162917,0.6231109130741525,0.5252034337834213,0.7812376446295226,2519424,7.4825436290199665,10.27230827363715,0.050577464604432174,0.556495056248552,0.9175804832252802
0.2,0.48033800831266626,0.5928059538397068,0.530678531913176,0.7704682227662127,2519424,7.4825436290199665,9.234531384951481,0.050577464604432174,0.556495056248552,0.9175804832252802
0.25,0.5029223241071723,0.5664528928425553,0.532800463018401,0.7605861179997662,2519424,7.4825436290199665,8.427759678402683,0.050577464604432174,0.556495056248552,0.9175804832252802
0.3,0.5229504009807427,0.5430703862251149,0.5328205221618217,0.7515017898064624,2519424,7.4825436290199665,7.770426891225932,0.050577464604432174,0.556495056248552,0.9175804832252802
0.35,0.5426289410933498,0.5214755167968936,0.5318419735720952,0.742963346978343,2519424,7.4825436290199665,7.190849972057105,0.050577464604432174,0.556495056248552,0.9175804832252802
0.4,0.5607322714327334,0.5002678803503132,0.528777200271372,0.7342860320432578,2519424,7.4825436290199665,6.675692539247066,0.050577464604432174,0.556495056248552,0.9175804832252802
0.45,0.5785859645979189,0.47959070004296694,0.524457696089379,0.725669732826117,2519424,7.4825436290199665,6.202290682314688,0.050577464604432174,0.556495056248552,0.9175804832252802
0.5,0.5963299591375473,0.45905674289321385,0.5187658480149143,0.716962233029244,2519424,7.4825436290199665,5.760086432454402,0.050577464604432174,0.556495056248552,0.9175804832252802
0.55,0.6138664721122064,0.43739821872828444,0.5108211162770528,0.7075731828471254,2519424,7.4825436290199665,5.331536097139663,0.050577464604432174,0.556495056248552,0.9175804832252802
0.6,0.632157325721494,0.4146946959690638,0.5008392486482331,0.6975893439114393,2519424,7.4825436290199665,4.908542587512066,0.050577464604432174,0.556495056248552,0.9175804832252802
0.65,0.6511321422253671,0.3905058960199876,0.4882136237179891,0.6867920784858129,2519424,7.4825436290199665,4.48753365848702,0.050577464604432174,0.556495056248552,0.9175804832252802
0.7,0.6713055715723738,0.36437032203992215,0.47235593453445196,0.6749705874655465,2519424,7.4825436290199665,4.061364819895341,0.050577464604432174,0.556495056248552,0.9175804832252802
0.75,0.6942152387640449,0.3356089901706477,0.4524750315569652,0.6618265646059011,2519424,7.4825436290199665,3.617334755880709,0.050577464604432174,0.556495056248552,0.9175804832252802
0.8,0.7193024578252354,0.30194624357485,0.42534335629847714,0.6462082384179899,2519424,7.4825436290199665,3.1409957196565563,0.050577464604432174,0.556495056248552,0.9175804832252802
0.85,0.7484943203476405,0.26040091875003313,0.3863802724890005,0.6266621371682533,2519424,7.4825436290199665,2.6031743763653914,0.050577464604432174,0.556495056248552,0.9175804832252802
0.9,0.7890545852413178,0.20657553430194625,0.3274295731720134,0.6010545163177138,2519424,7.4825436290199665,1.9589398211654725,0.050577464604432174,0.556495056248552,0.9175804832252802
0.95,0.851362538806485,0.130921879724375,0.22694442017958041,0.5645366215603419,2519424,7.4825436290199665,1.150659833358736,0.050577464604432174,0.556495056248552,0.9175804832252802
