fsa,rows,exploratory_peak_hours,exploratory_peak_pct,peak_mean_consumption_kwh
L4T,43824,1096,2.500912741876597,18955.392335766424
M5R,43824,1096,2.500912741876597,12103.78412408759
M5S,43824,1096,2.500912741876597,6225.728740875912
M6G,43824,1096,2.500912741876597,18451.305383211682
M9R,43824,1096,2.500912741876597,9827.718248175182
M9W,43824,1096,2.500912741876597,21700.1901459854
