duration_hours,episode_count,episode_pct
1,243,15.758754863813229
2,313,20.298313878080414
3,242,15.693904020752269
4,220,14.267185473411153
5,153,9.922178988326849
6,82,5.317769130998703
7,54,3.501945525291829
8,51,3.3073929961089497
9,47,3.04798962386511
10,35,2.2697795071335927
11,36,2.3346303501945527
12,25,1.621271076523995
13,14,0.9079118028534372
14,9,0.5836575875486382
15,8,0.5188067444876783
16,9,0.5836575875486382
17,1,0.06485084306095978
