weekday,weekday_name,mean,median,max
0,Monday,8822.537920391656,8184.5,33203.0
1,Tuesday,8776.460134631758,8116.35,33712.2
2,Wednesday,8757.159525329927,8103.15,30583.0
3,Thursday,8647.107908653847,7989.95,31498.5
4,Friday,8636.93734833972,7993.7,28123.699999999997
5,Saturday,8882.75957056194,8135.299999999999,30235.6
6,Sunday,9025.498855896127,8264.900000000001,31248.5
