fsa,count,mean,median,standard_deviation,minimum,maximum
L4T,43824,11617.975148320555,11179.0,3441.4060394954786,5864.4,27796.600000000002
M5R,43824,7662.036623767798,7461.0,2019.4353604989524,3721.5,16999.0
M5S,43824,4108.749952081052,4044.75,986.4173493034356,2060.4,7622.4
M6G,43824,11488.117506389193,11243.0,3177.8749393884787,4954.9,27460.100000000002
M9R,43824,5542.009675063892,5211.950000000001,1899.714502823113,1377.7,16243.6
M9W,43824,12337.413225629793,11916.35,4405.017340438537,4361.1,33712.2
