fsa,hourly_mean,hourly_median,hourly_standard_deviation,hourly_minimum,hourly_maximum,p95,p975,p99
L4T,11617.975148320555,11179.0,3441.4060394954786,5864.4,27796.600000000002,18422.854999999996,20880.467499999995,23120.931999999993
M5R,7662.036623767798,7461.0,2019.4353604989524,3721.5,16999.0,11308.5,12100.442500000001,13011.46399999999
M5S,4108.749952081052,4044.75,986.4173493034356,2060.4,7622.4,5862.009999999998,6213.312499999997,6588.369999999997
M6G,11488.117506389193,11243.0,3177.8749393884787,4954.9,27460.100000000002,16944.739999999998,18290.212499999998,20200.37199999999
M9R,5542.009675063892,5211.950000000001,1899.714502823113,1377.7,16243.6,9242.84,10783.942500000001,12333.482999999975
M9W,12337.413225629793,11916.35,4405.017340438537,4361.1,33712.2,19432.725,22068.39249999999,25710.636999999973
