season,mean,median,max
Winter,9547.415650406505,9270.5,20741.6
Spring,7877.581005434783,7317.25,23875.9
Summer,9952.128183876812,8951.85,33712.2
Fall,7797.693618742368,7135.75,29812.199999999997
