year,mean,median,max
2021,8002.746276636225,7439.25,25152.4
2022,8096.373202054794,7555.6,26563.9
2023,9024.425091324201,8428.95,29812.199999999997
2024,9173.72307225258,8542.6,30178.2
2025,9665.273614916287,9023.2,33712.2
