fsa,season,hour,assigned_station_name,peak_hours,mean_peak_consumption_kwh,mean_temperature_c,mean_relative_humidity_pct
M9W,Winter,12,TORONTO INTL A,16,19188.2875,-8.81875,64.8125
M9W,Winter,13,TORONTO INTL A,14,19198.17142857143,-8.907142857142857,61.57142857142857
M9W,Winter,14,TORONTO INTL A,9,19236.9,-9.333333333333334,57.44444444444444
M9W,Winter,15,TORONTO INTL A,8,19177.462499999998,-10.675,54.375
M9W,Winter,16,TORONTO INTL A,17,19139.264705882353,-8.294117647058824,59.11764705882353
M9W,Winter,17,TORONTO INTL A,66,19287.07878787879,-5.716666666666667,68.60606060606061
M9W,Winter,18,TORONTO INTL A,72,19256.579166666666,-6.498611111111111,69.05555555555556
M9W,Winter,19,TORONTO INTL A,38,19254.365789473686,-8.578947368421053,66.28947368421052
M9W,Winter,20,TORONTO INTL A,15,19203.8,-11.033333333333333,66.4
M9W,Winter,21,TORONTO INTL A,1,18789.0,-19.7,69.0
