temperature_band,count,mean,median,maximum
Below -10,5055,10017.948466864491,9911.800000000001,20741.6
-10 to 0,43314,9628.846686983423,9376.5,20662.3
0 to 10,82659,8204.396541211483,7714.5,18769.0
10 to 20,74670,7176.641783848935,6657.9,20451.4
20 to 30,55308,10796.946707528748,10097.650000000001,30500.300000000003
Above 30,1797,17760.429048414022,17578.7,33712.2
