REGION,BASELINE_PRECISION,BASELINE_RECALL,BASELINE_F1,BASELINE_FP,BASELINE_FN,BASELINE_TP,RF_THRESHOLD,RF_PRECISION,RF_RECALL,RF_F1,RF_ROC_AUC,RF_PR_AUC,RF_FP,RF_FN,RF_TP,F1_CHANGE,RECALL_CHANGE,PRECISION_CHANGE,FN_REDUCTION,ADDITIONAL_FP
DOWNTOWN,0.8156123822341858,0.8037135278514589,0.8096192384769539,137,148,606,0.5000000000000001,0.6985294117647058,0.8819628647214854,0.779601406799531,0.9824495023957497,0.8178771023640441,287,89,665,-0.03001783167742289,0.07824933687002655,-0.11708297046947991,59,150
AIRPORT_WEST,0.8188034188034188,0.8174061433447098,0.8181041844577285,106,107,479,0.5300000000000001,0.7569832402234636,0.9249146757679181,0.8325652841781874,0.9893250763471291,0.8706447145052167,174,44,542,0.014461099720458948,0.10750853242320824,-0.06182017857995514,63,68
