threshold,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
0.05,0.3132009415653252,0.9168350864908735,0.46690276674716763,0.8771170022972137,2519424,7.4825436290199665,21.903697035512877,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.1,0.4044534990851641,0.8266734565052488,0.5431624586987132,0.8641127566398574,2519424,7.4825436290199665,15.293773497434335,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.15,0.45936167335644246,0.738808701602508,0.5664977344646096,0.8342418582607966,2519424,7.4825436290199665,12.034457082253722,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.2,0.4975501931118133,0.6614894147477416,0.5679256926464594,0.803731617619539,2519424,7.4825436290199665,9.947988111568359,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.25,0.529661700129933,0.5924876801561663,0.5593159653976639,0.7749680019601316,2519424,7.4825436290199665,8.370087766092567,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.3,0.5616101540046184,0.5379620936042904,0.5495318291176279,0.7519996743149546,2519424,7.4825436290199665,7.16747161255906,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.35,0.5940537742300391,0.4930642859795138,0.5388682439287391,0.7329069747612519,2519424,7.4825436290199665,6.210506846009246,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.4,0.6222876707285646,0.4483203106351151,0.5211696656512462,0.7131560697834715,2519424,7.4825436290199665,5.390716290707717,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.45,0.6469809322033898,0.40173034792618173,0.49567861034842736,0.6920010279461112,2519424,7.4825436290199665,4.646141340242849,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.5,0.6690672633198154,0.3553154357431956,0.46414279824412485,0.6705508277211113,2519424,7.4825436290199665,3.9736860488746633,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.55,0.6896677964500396,0.3097810807513381,0.4275276909448963,0.649253678844943,2519424,7.4825436290199665,3.3609666336432453,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.6,0.7086014295293396,0.2634669552348064,0.3841150767565059,0.6273521359336723,2519424,7.4825436290199665,2.7821041634913377,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.65,0.7293995091547928,0.21913673567901037,0.3370208114083392,0.6062808063881044,2519424,7.4825436290199665,2.2480138317329676,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.7,0.7509732910819376,0.1759947378750988,0.2851605306471506,0.5856373434195858,2519424,7.4825436290199665,1.753575420413555,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.75,0.7721138090272606,0.13747301304391646,0.2333912698913014,0.5670957289190766,2519424,7.4825436290199665,1.3322489584920998,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.8,0.7965601761455694,0.10170966013675159,0.18038647524789733,0.5498043806081442,2519424,7.4825436290199665,0.9554167936798252,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.85,0.8385548256695301,0.07042335704472276,0.1299345727162844,0.5346633940991733,2519424,7.4825436290199665,0.6283976019915662,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.9,0.8846199595575116,0.03945002307484206,0.07553167719526314,0.5195169380278387,2519424,7.4825436290199665,0.3336873825128283,0.044639545735441745,0.5791374031065869,0.9410529791454607
0.95,0.9426891991182954,0.01361150453274771,0.026835530409592186,0.5067722888978224,2519424,7.4825436290199665,0.10804056800284509,0.044639545735441745,0.5791374031065869,0.9410529791454607
