fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
fold_2023,1,0.8305183459522423,0.24830228103778512,0.3823056300268097,0.6210337064563725,52416,10.956578144078144,3.2757173382173383,0.06554074303018409,0.6961145976154262,0.942514918285194
fold_2023,2,0.8278688524590164,0.24621278077659758,0.3795463696148168,0.6199568178302888,52416,10.956578144078144,3.258547008547009,0.06482443249641046,0.6996570372093084,0.9464321716632976
fold_2023,3,0.8078335373317014,0.2298450287306286,0.3578690524603497,0.611558685170705,52416,10.956578144078144,3.1173687423687424,0.06523545577542228,0.6997278727216063,0.9493253432334053
fold_2023,4,0.8062261753494282,0.22096465262058157,0.34686346863468637,0.6072149126021512,52416,10.956578144078144,3.002899877899878,0.06537032113124591,0.693845563143804,0.9461640468119001
fold_2023,5,0.8109605911330049,0.22932265366533172,0.3575403827881091,0.6113724874608664,52416,10.956578144078144,3.0982905982905984,0.06388414178079183,0.701995630943637,0.9516345824597219
fold_2023,6,0.8209042865531415,0.24342678042834756,0.37550362610797744,0.6184459765060342,52416,10.956578144078144,3.2490079365079367,0.06437988551912235,0.6897857114588951,0.9464609375660749
fold_2023,7,0.8137313432835821,0.2373324046665506,0.36748449716904824,0.6153237988023259,52416,10.956578144078144,3.1955891330891326,0.0643545593753079,0.6836614540877124,0.9436584566555372
fold_2023,8,0.8168257756563246,0.23837715479714436,0.36905243294244505,0.6158997380267727,52416,10.956578144078144,3.1974969474969472,0.06371911680346024,0.6851716696588889,0.9435423279169731
fold_2023,9,0.7896995708154506,0.2242730280341285,0.34933550311906697,0.6084620126993859,52416,10.956578144078144,3.111645299145299,0.06544569657001804,0.6551010654670419,0.9390491334490503
fold_2023,10,0.7865961199294532,0.2329792791224099,0.35948414830736164,0.6126008816069273,52416,10.956578144078144,3.245192307692308,0.06536904260972416,0.6462923212576255,0.935747758776903
fold_2023,11,0.7717003567181926,0.22601427825178477,0.3496296296296296,0.6088934117031854,52416,10.956578144078144,3.2089438339438336,0.06595585683591182,0.6315464410051415,0.9332526930497905
fold_2023,12,0.76,0.23485376044568246,0.3588243117435829,0.6128631160816003,52416,10.958485958485959,3.3863705738705736,0.0668354238695226,0.6174316760860802,0.9300774188779541
fold_2023,13,0.7435174746335964,0.22959094865100088,0.35084452719776565,0.6099209269620414,52416,10.960393772893774,3.3844627594627594,0.06818166383079408,0.5995614581445382,0.9265076542034636
fold_2023,14,0.7351936218678815,0.22467803689523147,0.34417488669688084,0.6073572314324025,52416,10.962301587301587,3.3501221001221,0.06772299593754384,0.6055547651346375,0.9309256694234932
