parameter_id,fold,horizon,class_ratio,task_seconds,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
1,fold_2023,1,38.82397572078907,18.990506899994216,250,14.0,5,sqrt,balanced_subsample,0.7964895635673624,0.2923559115444889,0.42771621449496877,0.6415821509171891,52416,10.956578144078144,4.021672771672772,0.06321527436900669,0.639980634995794,0.9287192513139653
1,fold_2023,12,38.82397572078907,18.355258000003232,250,14.0,5,sqrt,balanced_subsample,0.6418269230769231,0.278899721448468,0.3888349514563107,0.6298723838644466,52416,10.958485958485959,4.761904761904762,0.07170947457416434,0.5131572436307985,0.8962689014659765
1,fold_2023,24,38.77870405456613,22.449705900005938,250,14.0,5,sqrt,balanced_subsample,0.5848056537102474,0.2874761160326559,0.38546640270175847,0.6311467037224082,52416,10.983287545787546,5.399114774114774,0.07228233042765964,0.499538291292755,0.893268695378575
1,fold_2024,1,38.94320486815416,36.2034335999997,250,14.0,5,sqrt,balanced_subsample,0.6662581699346405,0.7740863787375415,0.7161361141602635,0.8789465449670504,52560,4.00875190258752,4.657534246575342,0.020732119150811395,0.7766869033097829,0.9875885182665554
1,fold_2024,12,38.94320486815416,37.371263799999724,250,14.0,5,sqrt,balanced_subsample,0.47712221553281153,0.7522543901281443,0.5839012709522933,0.8589131542736335,52560,4.00875190258752,6.320395738203957,0.033714827516957924,0.5717740586508779,0.9728556101840722
1,fold_2024,24,38.90273556231003,37.262876900000265,250,14.0,5,sqrt,balanced_subsample,0.45753746694093445,0.7386148007590133,0.5650517147523135,0.8510127837141614,52560,4.010654490106545,6.474505327245053,0.034899038932859665,0.5511188843736496,0.9698184108260943
2,fold_2023,1,38.82397572078907,107.02659439999843,400,,8,0.7,balanced_subsample,0.8345662407531943,0.216089152011144,0.3432918395573997,0.6054092193754004,52416,10.956578144078144,2.8369200244200243,0.07068262193874719,0.6705428185126271,0.931082078949269
2,fold_2023,12,38.82397572078907,108.42314830000396,400,,8,0.7,balanced_subsample,0.7457757296466974,0.16904596100278552,0.275617371558331,0.5809769571897713,52416,10.958485958485959,2.483974358974359,0.07228773181181973,0.5981768589904476,0.9242472287637877
2,fold_2023,24,38.77870405456613,110.75039870000182,400,,8,0.7,balanced_subsample,0.7298682284040996,0.17318047594233107,0.2799382282746034,0.5826360169205643,52416,10.983287545787546,2.606074481074481,0.07188870702353484,0.5751975268193081,0.916834431330662
2,fold_2024,1,38.94320486815416,200.9395430000004,400,,8,0.7,balanced_subsample,0.7620837808807733,0.673469387755102,0.7150415721844293,0.8323444693121138,52560,4.00875190258752,3.5426179604261794,0.016012571544860486,0.7894596709392421,0.9878074413257747
2,fold_2024,12,38.94320486815416,162.1186680000028,400,,8,0.7,balanced_subsample,0.597478176527643,0.584717607973422,0.5910290237467019,0.7841333268099326,52560,4.00875190258752,3.9231354642313545,0.023558406497610433,0.6015147247122035,0.9750648540455085
2,fold_2024,24,38.90273556231003,132.95815940000466,400,,8,0.7,balanced_subsample,0.5815085158150851,0.566888045540797,0.5741052125870766,0.7749210702610827,52560,4.010654490106545,3.9098173515981736,0.024294952421911303,0.5991509714039377,0.973989010314499
3,fold_2023,1,38.82397572078907,49.58105749999959,300,20.0,10,0.5,balanced,0.8305183459522423,0.24830228103778512,0.3823056300268097,0.6210337064563725,52416,10.956578144078144,3.2757173382173383,0.06554074303018408,0.6961145976154262,0.942514918285194
3,fold_2023,12,38.82397572078907,48.86539890000131,300,20.0,10,0.5,balanced,0.76,0.23485376044568246,0.3588243117435829,0.6128631160816003,52416,10.958485958485959,3.3863705738705736,0.0668354238695226,0.6174316760860802,0.9300774188779539
3,fold_2023,24,38.77870405456613,53.286924,300,20.0,10,0.5,balanced,0.6904296875,0.24561403508771928,0.36233183856502243,0.6160130442482468,52416,10.983287545787546,3.907203907203907,0.06860538344298055,0.5675049946358498,0.9179894673606823
3,fold_2024,1,38.94320486815416,77.98064250000607,300,20.0,10,0.5,balanced,0.7336561743341404,0.7190317987660181,0.7262703739213806,0.8540652819767101,52560,4.00875190258752,3.9288432267884326,0.016230264516071687,0.798166058238675,0.9887768878507471
3,fold_2024,12,38.94320486815416,64.291630300002,300,20.0,10,0.5,balanced,0.5646286417726714,0.6530612244897959,0.6056338028169014,0.816015875757474,52560,4.00875190258752,4.636605783866058,0.024695437806274614,0.6138224273799631,0.9770229842919776
3,fold_2024,24,38.90273556231003,68.0686646000031,300,20.0,10,0.5,balanced,0.5531324345757336,0.6617647058823529,0.6025917926565875,0.8197133209900149,52560,4.010654490106545,4.798325722983257,0.025786101000261137,0.6094029105998845,0.9752542142372609
