fold,fsa,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
fold_2023,L4T,0.47421093148575827,0.463855421686747,0.4689760182717929,0.7269466723369558,209664,1.90018315018315,1.8586881868131868,0.015421168474677317,0.46612608640241654,0.9776898140988691
fold_2023,M5R,0.5156411850010358,0.6029554263565892,0.555890563930765,0.7957901450637064,209664,1.9688644688644688,2.302255036630037,0.014338400259366443,0.5698299919898129,0.9714113460536385
fold_2023,M5S,0.4537481728962205,0.6560990338164251,0.5364769781508456,0.8217108334934649,209664,1.5796703296703296,2.2841307997557996,0.013774428270572122,0.5697641132807095,0.9800852235242983
fold_2023,M6G,0.8081272762123826,0.3607118412046543,0.49878734102336586,0.6778278363900995,209664,5.5746336996337,2.488266941391941,0.031243802482069087,0.6436036286429864,0.9535479493957287
fold_2023,M9R,0.5913689861655999,0.40606833971359707,0.48150638870208473,0.6981504271182503,209664,3.3639537545787546,2.3098862942612945,0.022867272129413627,0.5242174568637133,0.9470739630239516
fold_2023,M9W,0.98799022212775,0.17250593824228028,0.2937264009352734,0.5851439081914919,209664,51.4041514041514,8.975312881562882,0.3021865706519088,0.9276785590706174,0.9259912494054793
fold_2024,L4T,0.6457029461150969,0.7193877551020408,0.680556672834044,0.8540151733036139,210240,2.7968036529680362,3.115962709284627,0.015541031581105738,0.7138097648740664,0.9890993260193096
fold_2024,M5R,0.4978723404255319,0.6632653061224489,0.5687894992707827,0.8259242278125694,210240,1.678082191780822,2.2355403348554033,0.013217256729210878,0.5704588084346994,0.9878309582343975
fold_2024,M5S,0.45277712678696974,0.6764705882352942,0.5424680612101642,0.8326056409139284,210240,1.3584474885844748,2.029585235920852,0.011691216403292709,0.5423893003759181,0.9888919677927879
fold_2024,M6G,0.599935036812473,0.7237460815047022,0.6560502012787118,0.852753366938032,210240,3.6415525114155254,4.393074581430746,0.02138661762390961,0.706797280400932,0.980595181905992
fold_2024,M9R,0.6227300060132291,0.6140891840607211,0.6183794112378337,0.7992723530705572,210240,4.010654490106545,3.955003805175038,0.02237785181122023,0.6454787707927737,0.9772266434980903
fold_2024,M9W,0.6319461345015007,0.7010439164866811,0.6647041256026281,0.8263910332156833,210240,10.570776255707763,11.726598173515981,0.05199056081363748,0.7075368222709738,0.9566282666176595
