fold,horizon,mae,rmse,mape,wape,bias,n_observations
fold_2023,1,126.58459671674092,186.62650797911377,1.4398450302618377,1.4028442676322943,-11.996049036982827,52416
fold_2023,2,234.87785261337183,349.35467547037655,2.6239150603274295,2.6029569852331425,-31.039289134398214,52416
fold_2023,3,331.3829227558652,495.0481141263701,3.6617696028578397,3.672417301802221,-53.46635580310418,52416
fold_2023,4,411.92627530994395,616.7281300760113,4.509693202295723,4.564975967774575,-76.99081417430828,52416
fold_2023,5,477.3192092368413,715.6059371251451,5.181602880384887,5.289623117851871,-100.22022114538521,52416
fold_2023,6,527.8208227006538,794.5155890854046,5.680900614161891,5.849230002541908,-122.34147867183118,52416
fold_2023,7,564.9614305667862,855.2996589839732,6.0272946580643145,6.26075814114387,-142.9156160989719,52416
fold_2023,8,590.0694736763567,900.7309626001696,6.22460755142383,6.53893397276615,-161.74222638906176,52416
fold_2023,9,606.0692398509683,934.319069119812,6.311944988722209,6.7161566796144125,-178.7951271181486,52416
fold_2023,10,617.7546338521128,960.7778461734175,6.357929629643344,6.845546046047664,-194.12755844784363,52416
fold_2023,11,628.6088047599952,983.7700300775292,6.418894101598502,6.965717583698622,-207.81306605608987,52416
fold_2023,12,641.2670791488031,1004.770002535225,6.526908049769799,7.105882360632365,-219.96958122127936,52416
fold_2023,13,655.9128708696447,1024.7786043069864,6.6727758196619,7.268068153814513,-230.73084620377148,52416
fold_2023,14,671.5556375279845,1044.2167397996477,6.834765976978968,7.44129432110161,-240.2457958359714,52416
fold_2023,15,687.4389922080572,1063.0330185015378,7.006498059708079,7.6171799661687505,-248.650354999799,52416
fold_2023,16,702.1547541286421,1080.6347869762774,7.168888522284034,7.78010733067023,-256.07790400134246,52416
fold_2023,17,714.3776528787361,1095.7965739994786,7.29936662181736,7.915390733732981,-262.63465343688983,52416
fold_2023,18,723.7535007076732,1108.2020652503609,7.3954590222695575,8.019137268672107,-268.39129197598464,52416
fold_2023,19,731.1300778923205,1118.2764175264826,7.463875768478466,8.100742443385885,-273.432620385673,52416
fold_2023,20,736.3419603230368,1126.472626617939,7.506461528061473,8.158386011291634,-277.8159090777093,52416
fold_2023,21,740.3781738320367,1133.2106639228368,7.536284801289593,8.203029024281985,-281.6218540235001,52416
fold_2023,22,743.3893052682668,1139.010719148319,7.555429842309201,8.23632527656295,-284.9326663521676,52416
fold_2023,23,745.8751037048098,1144.2235710217471,7.57033584201521,8.263806905799315,-287.8326494408772,52416
fold_2023,24,749.3127277237511,1150.047089493144,7.599471322698687,8.301820190932487,-290.4033687408127,52416
fold_2024,1,134.13858607346333,215.99216241808597,1.5162654391467663,1.4621963200119719,-7.965883511013479,52560
fold_2024,2,242.19043252521658,378.9025704193535,2.6781480831197713,2.6400453773775734,-20.487560100633818,52560
fold_2024,3,337.6182737956929,518.3891354839919,3.694583083149007,3.6803032223221175,-35.06448545207617,52560
fold_2024,4,416.2177672807486,631.4423253915951,4.5121877766925405,4.537131505074655,-50.267372440986406,52560
fold_2024,5,478.66488201254396,723.7124531055301,5.170128088469319,5.217886549897906,-65.27229027871162,52560
fold_2024,6,524.4619378904088,794.7876060733408,5.646620440987712,5.717133976762603,-79.62881023397901,52560
fold_2024,7,555.8872721589491,846.4663917180898,5.957760882153373,6.059701379839096,-93.11718828263245,52560
fold_2024,8,575.1724623785507,881.8989616247693,6.117324981004016,6.269902395195307,-105.65708202776358,52560
fold_2024,9,585.1564294088469,905.3475143683193,6.1638797738591355,6.378691837741729,-117.22370371038565,52560
fold_2024,10,591.1426489982284,922.6172166049246,6.17244703762458,6.443907649244217,-127.82154704865924,52560
fold_2024,11,597.7301291512732,936.8626477472915,6.208828225114806,6.515685873523079,-137.50250145376094,52560
fold_2024,12,606.2457908936185,950.5577511249465,6.289148138956062,6.608496050052137,-146.33188397149752,52560
fold_2024,13,616.6557810940238,964.7433268647502,6.400166785909265,6.721965866606136,-154.3772008830317,52560
fold_2024,14,628.8039229712083,979.4175363878536,6.53578553132269,6.854406907239769,-161.6822778435119,52560
fold_2024,15,641.6541740051982,994.9717068405929,6.6866238556174835,6.994508615808074,-168.32906493779345,52560
fold_2024,16,654.2976189182824,1009.7251360320337,6.8372330799722505,7.132347079806456,-174.40760045785512,52560
fold_2024,17,664.8164777610067,1022.3630336195446,6.959684282258144,7.247017945686345,-179.94627080278966,52560
fold_2024,18,673.3286307672834,1032.487218832958,7.053057650714132,7.339829724162127,-184.94247085784332,52560
fold_2024,19,679.9452055497613,1040.5364473824202,7.119426737473626,7.411994238475339,-189.4531884048242,52560
fold_2024,20,684.4907148336794,1046.5541218305502,7.162093478003946,7.4615994719796435,-193.49500956369488,52560
fold_2024,21,688.0181985592311,1051.517993542588,7.191261548983919,7.500136951740485,-197.0943852410661,52560
fold_2024,22,690.4517770374164,1055.9598733132984,7.208736142343342,7.526753310940879,-200.3356838932823,52560
fold_2024,23,692.3540255588667,1060.292247628545,7.21985236054936,7.547560059818852,-203.29308346078037,52560
fold_2024,24,695.7627472933685,1066.3814301110724,7.248350481955694,7.58476034228149,-206.0229024570596,52560
