fold,fsa,mae,rmse,mape,wape,bias,n_observations
fold_2023,L4T,739.3994343391422,1082.67367825452,6.325208956282167,6.540192461881467,17.666794127393004,209664
fold_2023,M5R,408.7509253514704,573.1067285024809,5.418623940667433,5.48704830791651,15.730879531120074,209664
fold_2023,M5S,201.5270604166421,274.712669451926,5.045899893741658,5.054687453971688,16.923703206858274,209664
fold_2023,M6G,594.3892386141466,868.4087940364689,5.007336754665895,5.122516077341534,-90.13371577018442,209664
fold_2023,M9R,422.1358779828212,638.764380976978,7.221032405170785,7.615524957401153,-72.6015237183124,209664
fold_2023,M9W,1223.8632378591271,1649.9244391118475,8.125627673743097,8.58297072585062,-1063.6329618198504,209664
fold_2024,L4T,797.2404324298955,1164.7567033438118,6.608964039054419,6.854042586187842,-61.53962480841885,210240
fold_2024,M5R,410.7721189214958,581.2755329785848,5.440851924121152,5.472864699344683,8.76759232014247,210240
fold_2024,M5S,204.5763238218462,280.60283032018316,5.142891465022412,5.1137900685739,10.98027706635069,210240
fold_2024,M6G,610.6903159395969,888.848892081273,5.148990231735104,5.225656676937366,-71.8676025758814,210240
fold_2024,M9R,447.3523835783464,687.5169925129221,7.452480870592357,7.831975800906692,-83.59739666097981,210240
fold_2024,M9W,943.1698970380362,1368.0602660320417,6.143219940819791,6.502186762139271,-602.6731071701213,210240
