fold,mae,rmse,mape,wape,bias,n_observations
fold_2023,598.3442957605583,953.983323521321,6.190621604045172,6.630154592174196,-196.00780407382933,1257984
fold_2024,568.9669119548695,904.39650513951,5.9895664118908725,6.202236251435814,-133.32164363815136,1261440
