fold,threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
fold_2023,0.02,0.4528414539270142,0.7257885617764116,0.5577104658449968,0.8088927827314386,100116,120968,37825,999075,27.421143822358836,10.80029963135344,17.574468355718356,10.9652428011803,1257984
fold_2023,0.03,0.4817087815222668,0.6833936248106074,0.5650948938363966,0.7964186400494209,94268,101427,43673,1018616,31.660637518939254,9.055634471176553,15.556239189051688,10.9652428011803,1257984
fold_2023,0.04,0.5027399098625571,0.6517931579443386,0.5676449512120437,0.7861976566986495,89909,88929,48032,1031114,34.82068420556615,7.939784454703972,14.216238044363044,10.9652428011803,1257984
fold_2023,0.05,0.5201644655770421,0.6273189262075815,0.5687385391951311,0.7780251169224388,86533,79824,51408,1040219,37.26810737924185,7.126869236270393,13.224095060032559,10.9652428011803,1257984
fold_2023,0.06,0.5344391986729616,0.6072741244445089,0.568533431066136,0.7710615271758321,83768,72972,54173,1047071,39.27258755554911,6.515107009284465,12.45961792836793,10.9652428011803,1257984
fold_2023,0.07,0.5470762731816255,0.5895999014071234,0.5675426721190213,0.7647417297245457,81330,67333,56611,1052710,41.04000985928767,6.011644195803196,11.817558887871387,10.9652428011803,1257984
fold_2023,0.08,0.558489024725178,0.5749269615270297,0.5665887933929171,0.7594757160080545,79306,62695,58635,1057348,42.50730384729703,5.597552951092057,11.287981405168905,10.9652428011803,1257984
fold_2023,0.09,0.568466586018549,0.5620953886081731,0.5652630351102298,0.7547723638033825,77536,58859,60405,1061184,43.790461139182696,5.255066100140798,10.842347756410255,10.9652428011803,1257984
fold_2023,0.1,0.5777430780363332,0.5498655222160199,0.5634596955717501,0.7501854969404735,75849,55436,62092,1064607,45.01344777839801,4.9494528335072845,10.436142272079772,10.9652428011803,1257984
fold_2023,0.11,0.5863624889562035,0.538868066782175,0.5616129410031393,0.7460260035208057,74332,52436,63609,1067607,46.113193321782504,4.681605974056353,10.077075702075703,10.9652428011803,1257984
fold_2023,0.12,0.5942477443731474,0.5290377770206103,0.5597499472664864,0.7422750996557701,72976,49828,64965,1070215,47.09622229793897,4.44875777090701,9.761968355718356,10.9652428011803,1257984
fold_2023,0.13,0.6015635485169776,0.5199034369766784,0.5577604342872253,0.7387471754484738,71716,47500,66225,1072543,48.009656302332154,4.240908607973086,9.476750101750103,10.9652428011803,1257984
fold_2023,0.14,0.6081866303429487,0.5114215497930275,0.5556225018213322,0.7354222681159706,70546,45448,67395,1074595,48.857845020697255,4.057701356108649,9.220626017501017,10.9652428011803,1257984
fold_2023,0.15,0.614453882742677,0.5028961657520244,0.5531059887257912,0.7320171324571444,69370,43527,68571,1076516,49.71038342479756,3.886190083773569,8.974438466625967,10.9652428011803,1257984
fold_2023,0.16,0.620127453294359,0.49522621990561183,0.550683396547346,0.7289325771518331,68312,41846,69629,1078197,50.47737800943882,3.736106560194564,8.756709147334147,10.9652428011803,1257984
fold_2023,0.17,0.6257429610544234,0.48769401410748076,0.5481605214911387,0.7258851966589609,67273,40236,70668,1079807,51.23059858925193,3.592362078955897,8.546134132071632,10.9652428011803,1257984
fold_2023,0.18,0.6304794520547945,0.48046628631081406,0.545344584281312,0.7228927374745537,66276,38844,71665,1081199,51.953371368918596,3.468081136170665,8.356227106227106,10.9652428011803,1257984
fold_2023,0.19,0.6358042121457017,0.47338354803865423,0.5427020827446353,0.719994200801156,65299,37404,72642,1082639,52.66164519613458,3.339514643634218,8.164094296906796,10.9652428011803,1257984
fold_2023,0.2,0.6403997215869544,0.4669025162931978,0.5400589490631459,0.717306788693194,64405,36165,73536,1083878,53.30974837068022,3.2288938906809825,7.994537291412292,10.9652428011803,1257984
fold_2023,0.21,0.6445319637020646,0.46032724135681197,0.5370740804959845,0.7145302923151199,63498,35020,74443,1085023,53.9672758643188,3.1266656726572104,7.831419159544159,10.9652428011803,1257984
