threshold,min_precision,mean_precision,max_precision,min_recall,mean_recall,max_recall,worst_fold_f1,mean_f1,f1_range,worst_fold_balanced_accuracy,mean_balanced_accuracy,max_missed_peak_rate_pct,mean_missed_peak_rate_pct,mean_false_alarm_rate_pct
0.02,0.19463264853421336,0.3237370512306138,0.4528414539270142,0.7257885617764116,0.8573283998379053,0.9888682378993989,0.3252486692658119,0.4414795675554044,0.23246179657918492,0.8088927827314386,0.8589361090416552,27.421143822358836,14.267160016209472,13.945618175459487
0.03,0.21518117882877436,0.3484449801755206,0.4817087815222668,0.6833936248106074,0.834133936733048,0.9848742486554888,0.35319435581082037,0.45914462482360846,0.21190053802557618,0.7964186400494209,0.8569189216447065,31.660637518939254,16.58660632669519,12.0296093443635
0.04,0.23136547532486904,0.3670526925937131,0.5027399098625571,0.6517931579443386,0.8166332920376549,0.9814734261309712,0.3744587438330743,0.471051847522559,0.1931862073789694,0.7861976566986495,0.8544193892584467,34.82068420556615,18.336670796234515,10.779451352076151
0.05,0.24479406307977736,0.38247926432840973,0.5201644655770421,0.6273189262075815,0.8028143982508961,0.9783098702942107,0.3916011412697219,0.4801698402324265,0.17713739792540917,0.7780251169224388,0.8520741002165133,37.26810737924185,19.71856017491039,9.866619781786936
0.06,0.2565577650283741,0.3954984818506678,0.5344391986729616,0.6072741244445089,0.7912596500109289,0.9752451755773489,0.4062447236532704,0.48738907735970316,0.16228870741286555,0.7710615271758321,0.8498323437571776,39.27258755554911,20.874034998907106,9.159496249657362
0.07,0.26726692438601357,0.4071715987838196,0.5470762731816255,0.5895999014071234,0.7807616716779369,0.9719234419487504,0.4192463016584434,0.49339448688873233,0.14829637046057792,0.7647417297245457,0.8475275849009873,41.04000985928767,21.923832832206315,8.570650187596229
0.08,0.27693863827719295,0.41771383150118546,0.558489024725178,0.5749269615270297,0.7719719432753782,0.9690169250237267,0.4307669319645078,0.4986778626787125,0.1358218614284093,0.7594757160080545,0.8455733502438514,42.50730384729703,22.80280567246218,8.08252427876753
0.09,0.28592824881233764,0.42719741741544337,0.568466586018549,0.5620953886081731,0.7642017594733368,0.9663081303385005,0.4412821670428894,0.5032726010765596,0.12398086806734038,0.7547723638033825,0.8437638527082802,43.790461139182696,23.579824052666325,7.667405405677635
0.1,0.29420532998599913,0.43597420401116616,0.5777430780363332,0.5498655222160199,0.7568906067264851,0.9639156912369503,0.45081375994081746,0.5071367277562838,0.11264593563093267,0.7501854969404735,0.8419250701748086,45.01344777839801,24.310939327351488,7.304046637686794
0.11,0.30199670838120674,0.4441795986687051,0.5863624889562035,0.538868066782175,0.7501561150108281,0.9614441632394812,0.45962257373895865,0.510617757371049,0.10199036726418065,0.7460260035208057,0.840169743821611,46.113193321782504,24.98438849891719,6.981662736760599
0.12,0.30929406437541057,0.451770904374279,0.5942477443731474,0.5290377770206103,0.7439656616833517,0.958893546346093,0.46772272453285113,0.5137363358996687,0.09202722273363528,0.7422750996557701,0.8385004566247705,47.09622229793897,25.603433831664837,6.6964748433810675
