fold,horizon,threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
fold_2023,1,0.06,0.7286629468898532,0.6139648267456034,0.6664146664146664,0.7929164651800564,3526,1313,2217,45360,38.60351732543967,2.813189638549054,9.23191391941392,10.956578144078144,52416
fold_2023,2,0.06,0.7051103599125075,0.6174473271809159,0.6583735610842926,0.7928365339866185,3546,1483,2197,45190,38.25526728190841,3.1774259207678957,9.594398656898658,10.956578144078144,52416
fold_2023,3,0.06,0.7018756169792695,0.6190144523768065,0.6578460399703923,0.7933308501251547,3555,1510,2188,45163,38.098554762319345,3.2352752126497117,9.663079975579976,10.956578144078144,52416
fold_2023,4,0.06,0.6778159464834569,0.6527947065993384,0.6650700727337236,0.8073070869786698,3749,1782,1994,44891,34.72052934006617,3.818053264199859,10.55212148962149,10.956578144078144,52416
fold_2023,5,0.06,0.6659941305942774,0.6322479540309942,0.6486824475212148,0.7966159102531292,3631,1821,2112,44852,36.77520459690057,3.9016133524735928,10.401404151404153,10.956578144078144,52416
fold_2023,6,0.06,0.6391242937853108,0.6303325787915723,0.6346979924607697,0.7932692611353358,3620,2044,2123,44629,36.96674212084277,4.379405652090074,10.805860805860807,10.956578144078144,52416
fold_2023,7,0.06,0.5966372282608695,0.6117012014626502,0.6040753159659531,0.7804076251351559,3513,2375,2230,44298,38.82987985373498,5.088595119233819,11.233211233211234,10.956578144078144,52416
fold_2023,8,0.06,0.5686723348593852,0.6056068257008532,0.5865587317649043,0.7745429624829765,3478,2638,2265,44035,39.43931742991468,5.652090073490027,11.668192918192918,10.956578144078144,52416
fold_2023,9,0.06,0.5402999062792877,0.6022984502873063,0.5696171263894607,0.7696213610680634,3459,2943,2284,43730,39.77015497126937,6.305572815117948,12.213827838827838,10.956578144078144,52416
fold_2023,10,0.06,0.5370487650411653,0.5906320738290092,0.5625673770627747,0.7639917166436843,3392,2924,2351,43749,40.93679261709908,6.264864054164078,12.0497557997558,10.956578144078144,52416
fold_2023,11,0.06,0.5249488430662679,0.5807069475883685,0.5514219576719577,0.7580221473313471,3335,3018,2408,43655,41.929305241163156,6.466265292567437,12.120344932844933,10.956578144078144,52416
fold_2023,12,0.06,0.5152625152625152,0.5877437325905293,0.5491216655823032,0.759847183401881,3376,3176,2368,43496,41.22562674094708,6.804936578676722,12.5,10.958485958485959,52416
fold_2023,13,0.06,0.5093072932560269,0.5810269799825936,0.5428083584031222,0.7560595464289133,3338,3216,2407,43455,41.89730200174064,6.890788712476699,12.503815628815628,10.960393772893774,52416
fold_2023,14,0.06,0.4900559353635799,0.5489035851026801,0.5178131669676572,0.7392900183923514,3154,3282,2592,43388,45.10964148973199,7.032354831797728,12.278693528693529,10.962301587301587,52416
fold_2023,15,0.06,0.4946316731285416,0.5771706977553506,0.5327230386252308,0.752276450036903,3317,3389,2430,43280,42.282930224464934,7.26177976815445,12.793803418803417,10.964209401709402,52416
fold_2023,16,0.06,0.48512455516014236,0.592901878914405,0.5336256165348783,0.7576984752418944,3408,3617,2340,43051,40.709812108559504,7.750492843061626,13.402396214896214,10.966117216117215,52416
fold_2023,17,0.06,0.48781846025337605,0.6093913043478261,0.5418696358153561,0.7652772319107664,3504,3679,2246,42987,39.060869565217395,7.883684052629324,13.703830891330892,10.969932844932845,52416
fold_2023,18,0.06,0.4804962095106823,0.6060500695410292,0.5360190666564157,0.7626405842304838,3486,3769,2266,42895,39.39499304589708,8.076890108006172,13.84119352869353,10.973748473748474,52416
fold_2023,19,0.06,0.47438483259378783,0.6131386861313869,0.5349101660222879,0.7646830115754015,3528,3909,2226,42753,38.68613138686132,8.377266298058379,14.18841575091575,10.977564102564102,52416
fold_2023,20,0.06,0.47143995749202977,0.6166811468288445,0.534367236317097,0.7657032531683923,3549,3979,2206,42682,38.33188531711555,8.527464049205975,14.36202686202686,10.979471916971917,52416
fold_2023,21,0.06,0.4599897409592203,0.6231758165392633,0.5292902464217205,0.7664636047977071,3587,4211,2169,42449,37.68241834607367,9.024860694384913,14.877136752136751,10.98137973137973,52416
fold_2023,22,0.06,0.4592630371031493,0.625673093625152,0.5297058823529411,0.7673897948461815,3602,4241,2155,42418,37.4326906374848,9.089350393278895,14.9629884004884,10.983287545787546,52416
fold_2023,23,0.06,0.448773633111906,0.6102136529442418,0.517188075082812,0.7588670870863647,3513,4315,2244,42344,38.97863470557582,9.247947877151248,14.934371184371184,10.983287545787546,52416
fold_2023,24,0.06,0.4536523929471033,0.625673093625152,0.5259545885960429,0.7663503383640451,3602,4338,2155,42321,37.4326906374848,9.297241689706166,15.148046398046397,10.983287545787546,52416
fold_2024,1,0.06,0.3858867223769731,0.9862363550071191,0.5547250400427123,0.960345101571504,2078,3307,29,47146,1.3763644992880872,6.554615186411115,10.245433789954337,4.00875190258752,52560
fold_2024,2,0.06,0.36964285714285716,0.9824394874228761,0.5371739976644608,0.956236690176465,2070,3530,37,46923,1.7560512577123872,6.996610706994629,10.6544901065449,4.00875190258752,52560
fold_2024,3,0.06,0.3466599190283401,0.9753203607024205,0.5115121344119478,0.9492779235973998,2055,3873,52,46580,2.4679639297579494,7.676451350762095,11.278538812785389,4.00875190258752,52560
fold_2024,4,0.06,0.31895485466914036,0.9791172282866635,0.4811661807580175,0.9459041238256103,2063,4405,44,46048,2.08827717133365,8.730898063544288,12.30593607305936,4.00875190258752,52560
fold_2024,5,0.06,0.3022880610149604,0.9781680113906027,0.4618487394957983,0.9419411202375486,2061,4757,46,45696,2.183198860939725,9.428577091550553,12.971841704718418,4.00875190258752,52560
