threshold,min_precision,mean_precision,max_precision,min_recall,mean_recall,max_recall,worst_fold_f1,mean_f1,f1_range,worst_fold_balanced_accuracy,mean_balanced_accuracy,max_missed_peak_rate_pct,mean_missed_peak_rate_pct,mean_false_alarm_rate_pct
0.06,0.2565577650283741,0.3954984818506678,0.5344391986729616,0.6072741244445089,0.7912596500109289,0.9752451755773489,0.4062447236532704,0.48738907735970316,0.16228870741286555,0.7710615271758321,0.8498323437571776,39.27258755554911,20.874034998907106,9.159496249657362
0.05,0.24479406307977736,0.38247926432840973,0.5201644655770421,0.6273189262075815,0.8028143982508961,0.9783098702942107,0.3916011412697219,0.4801698402324265,0.17713739792540917,0.7780251169224388,0.8520741002165133,37.26810737924185,19.71856017491039,9.866619781786936
0.04,0.23136547532486904,0.3670526925937131,0.5027399098625571,0.6517931579443386,0.8166332920376549,0.9814734261309712,0.3744587438330743,0.471051847522559,0.1931862073789694,0.7861976566986495,0.8544193892584467,34.82068420556615,18.336670796234515,10.779451352076151
0.03,0.21518117882877436,0.3484449801755206,0.4817087815222668,0.6833936248106074,0.834133936733048,0.9848742486554888,0.35319435581082037,0.45914462482360846,0.21190053802557618,0.7964186400494209,0.8569189216447065,31.660637518939254,16.58660632669519,12.0296093443635
