fold,fsa,threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
fold_2023,L4T,0.06,0.15677456466035664,0.7525100401606426,0.2594884666984031,0.8370557785400645,2998,16125,986,189555,24.748995983935743,7.839848308051342,9.12078373015873,1.90018315018315,209664
fold_2023,M5R,0.06,0.24512964260686756,0.8473837209302325,0.3802587237743233,0.8974872053195456,3498,10772,630,194764,15.261627906976743,5.240931029114121,6.806127899877899,1.9688644688644688,209664
fold_2023,M5S,0.06,0.20886839304717986,0.8888888888888888,0.3382547251105877,0.9174250794758471,2944,11151,368,195201,11.11111111111111,5.40387299371947,6.7226610195360195,1.5796703296703296,209664
fold_2023,M6G,0.06,0.3966338661561067,0.7621492128678987,0.521744223504261,0.8468507611193657,8908,13551,2780,184425,23.78507871321013,6.844769062916717,10.711900946275946,5.5746336996337,209664
fold_2023,M9R,0.06,0.25059750376206075,0.8027789593080958,0.3819610753195939,0.8596049763447509,5662,16932,1391,185679,19.722104069190415,8.356900661859425,10.776289682539684,3.3639537545787546,209664
fold_2023,M9W,0.06,0.930824467670836,0.5544648159144893,0.6949614769588603,0.7554388699547321,59758,4441,48018,97447,44.55351840855107,4.3587076005025125,30.61994429181929,51.4041514041514,209664
fold_2024,L4T,0.06,0.22325724623734555,0.9863945578231292,0.3641043347248815,0.9438260712388302,5800,20179,80,184181,1.3605442176870748,9.874241534546877,12.356830289193303,2.7968036529680362,210240
fold_2024,M5R,0.06,0.14043389341139673,0.9926303854875284,0.2460565606885649,0.9444676947755766,3502,21435,26,185277,0.7369614512471655,10.369499593637526,11.861206240487062,1.678082191780822,210240
fold_2024,M5S,0.06,0.18997926744989635,0.9625350140056023,0.3173265612374466,0.9530083356106012,2749,11721,107,195663,3.746498599439776,5.6518342784399955,6.882610350076103,1.3584474885844748,210240
fold_2024,M6G,0.06,0.2201423130296141,0.9738766980146291,0.359108970499699,0.9217481069348903,7456,26413,200,176171,2.612330198537095,13.038048414484857,16.10968417047184,3.6415525114155254,210240
fold_2024,M9R,0.06,0.25077455804629123,0.9791271347248577,0.39928422885331527,0.9284510247476663,8256,24666,176,177142,2.0872865275142316,12.22250852295251,15.659246575342467,4.010654490106545,210240
fold_2024,M9W,0.06,0.35889539916106267,0.9701673866090713,0.5239611178614824,0.8826588996699514,21561,38515,663,149501,2.9832613390928726,20.484958726916858,28.574961948249623,10.570776255707763,210240
