parameter_id,fold,horizon,n_estimators,max_depth,min_samples_leaf,max_features,mae,rmse,mape,wape,bias,n_observations,refinement_id
1,fold_2023,1,160,,5,0.7,511.7824768125458,924.2453400761958,4.86368867532379,5.671709927533291,-313.0922775690284,52416,R0_incumbent
1,fold_2023,12,160,,5,0.7,588.991931783604,1025.5356496031966,5.880336209658667,6.526621301332564,-184.4115406621099,52416,R0_incumbent
1,fold_2023,24,160,,5,0.7,597.8071767266265,1028.39991770804,6.179369432678246,6.623252890831877,-100.36039583187419,52416,R0_incumbent
1,fold_2024,1,160,,5,0.7,366.45146775440793,562.2269833300043,3.958939779576974,3.9945552081488893,-95.44895886237407,52560,R0_incumbent
1,fold_2024,12,160,,5,0.7,538.2876501783783,903.1995775631117,5.594592580707815,5.8677055798641815,-65.35290041736137,52560,R0_incumbent
1,fold_2024,24,160,,5,0.7,569.016915988516,944.4798467856255,5.989243531973557,6.203058377681772,-43.960664063024744,52560,R0_incumbent
2,fold_2023,1,220,,5,0.7,510.4718066618959,919.6258240384163,4.853909475865713,5.6571847312986305,-311.86863145773896,52416,R1_more_trees
2,fold_2023,12,220,,5,0.7,588.4144992183581,1026.8055985228443,5.87382172460607,6.520222769405301,-184.83734314074422,52416,R1_more_trees
2,fold_2023,24,220,,5,0.7,596.5902353704679,1024.1723416378352,6.171135149381683,6.60977009793654,-100.03930107349761,52416,R1_more_trees
2,fold_2024,1,220,,5,0.7,365.6557284545906,561.2913484104536,3.9488371222419856,3.9858811412011095,-94.98569027137836,52560,R1_more_trees
2,fold_2024,12,220,,5,0.7,538.0390823394047,903.6291307909014,5.590310556215588,5.864996019473493,-65.64721203124071,52560,R1_more_trees
2,fold_2024,24,220,,5,0.7,568.4022326006241,943.4409615783121,5.983428957963918,6.196357492643475,-43.74491014161192,52560,R1_more_trees
3,fold_2023,1,180,,3,0.7,509.7410975652922,924.2106138331753,4.839900528551544,5.649086818171245,-313.1339234044392,52416,R2_leaf_3
3,fold_2023,12,180,,3,0.7,593.5540182599101,1036.7175030518617,5.904360257754549,6.57717379478458,-190.95014075149845,52416,R2_leaf_3
3,fold_2023,24,180,,3,0.7,604.8663921275587,1037.491560217378,6.241399084914029,6.701463676234691,-102.93255560602765,52416,R2_leaf_3
3,fold_2024,1,180,,3,0.7,361.2229427489221,554.7990828805252,3.9025208002599774,3.937560943889052,-93.34333880377659,52560,R2_leaf_3
3,fold_2024,12,180,,3,0.7,536.8414400779392,902.4144990241315,5.571606740669991,5.851940895177118,-66.85193316900055,52560,R2_leaf_3
3,fold_2024,24,180,,3,0.7,566.4047086954931,939.7002162184534,5.970294783031226,6.174581764987265,-39.16070089910211,52560,R2_leaf_3
4,fold_2023,1,180,,5,0.8,516.3552500176838,932.2266211512112,4.907705479111365,5.722386619993472,-316.78203629115177,52416,R3_features_08
4,fold_2023,12,180,,5,0.8,593.3023179019332,1034.7807237747109,5.914231834731448,6.574384702389119,-189.7302404511139,52416,R3_features_08
4,fold_2023,24,180,,5,0.8,602.1436774632805,1032.1046197365995,6.209930099385647,6.671298050137938,-103.20269235994758,52416,R3_features_08
4,fold_2024,1,180,,5,0.8,367.5799310305827,564.4503810167114,3.971457661866097,4.006856179092386,-94.31862468450335,52560,R3_features_08
4,fold_2024,12,180,,5,0.8,539.6321528588926,907.4850113732634,5.607995543193828,5.88236158372751,-67.11349890440863,52560,R3_features_08
4,fold_2024,24,180,,5,0.8,570.0710021801649,945.9113678890703,5.999839214204404,6.21454935096953,-42.81902618707492,52560,R3_features_08
