model_key,model,family,mae,rmse,mape,wape,bias,abs_bias,n_observations,fold_mae_mean,fold_mae_std,fold_mae_cv,fold_mae_range,horizon_mae_slope,short_horizon_mae_h01_h06,long_horizon_mae_h19_h24,m9w_2023_mae,m9w_2023_mape,m9w_2023_bias,runtime_seconds_evidence,runtime_minutes_evidence,runtime_source,primary_rank_mae,mae_improvement_vs_baseline_pct
random_forest,Random Forest Regressor,Bagging,542.255100925175,926.1848579513244,5.552179708534576,5.959380436367659,-125.31217813203186,125.31217813203186,2519424,542.2965716665915,30.232170492624277,0.05574840792320419,60.464340985248555,6.635143158614556,465.2755515677838,586.5647492545845,1188.7182569127413,7.530990790682754,-973.4236323929678,,,unavailable,1.0,11.403262151376095
lightgbm,LightGBM Regressor,Gradient Boosting,580.8359731656727,1044.368140933129,5.735130025369868,6.383384000106839,-213.04048351091,213.04048351091,2519424,580.9869511747211,110.06296859615401,0.18944137794078375,220.12593719230802,10.71640275355365,457.5279995856318,650.361522565427,1922.876179493098,12.776346935986199,,,,unavailable,2.0,5.099698721487238
sarimax,SARIMAX Rolling,Statistical Time Series,583.6354547604534,929.4866358538223,6.089956110031017,6.414150286711505,-164.6217292329206,164.6217292329206,2519424,583.6556038577139,14.688691902844425,0.025166710994905993,29.37738380568885,19.731865415645988,353.6002965759576,714.7875014647121,1223.320379608208,8.124586573279085,,2223.858715899987,37.06431193166645,runtime_diagnostics:sum(task_seconds),3.0,4.642303417060115
xgboost,XGBoost Regressor,Gradient Boosting,606.2658777974954,1106.771203785701,5.929866736315772,6.662858505561957,-251.04629301188325,251.04629301188325,2519424,606.4514420356261,135.2763295972597,0.22306209569423838,270.5526591945194,11.350252585349812,471.3951291022592,676.2986328355614,2158.5619494790085,14.294676001647195,,,,unavailable,4.0,0.9448155487202089
seasonal_naive,Seasonal Naive,Baseline,612.0486082136233,994.2925039259226,6.589648500311822,6.72641067953296,-0.8376582504572482,0.8376582504572482,2519424,612.0372969328661,8.245923672156778,0.013472910414904449,16.491847344313555,-0.014140368960864723,612.1769881961171,611.9353964503676,841.6004225808913,5.6680170195160695,-6.180456349206348,,,unavailable,5.0,0.0
