fold,horizon,target,mae,rmse,mape,wape,bias,n_observations,model_key,model,family
fold_2024,4,target_h04,620.4457838660578,1008.083247563168,6.6705480321774,6.763392470150411,0.9906278538812784,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,5,target_h05,620.4393302891933,1008.0799242626024,6.670491097217264,6.763358161835667,0.9970814307458136,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,6,target_h06,620.429941019787,1008.0760224475512,6.6703867474223415,6.76327649299545,1.0064707001522062,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,7,target_h07,620.4265962709285,1008.0745626192728,6.670342637027335,6.763241559588734,1.0098154490106557,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,8,target_h08,620.4359798325722,1008.077534512336,6.670462679636184,6.763315858222248,0.9919006849315084,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,9,target_h09,620.4301179604262,1008.0765124435044,6.670422528174013,6.763204385058877,0.958070776255706,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,10,target_h10,620.4024847792999,1008.0643092258588,6.670102116063887,6.762862270306994,0.9245015220700178,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,11,target_h11,620.3654299847793,1008.0430494681516,6.669809808239717,6.762426840208557,0.886308980213092,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,12,target_h12,620.3206335616438,1008.016486412204,6.669439521195494,6.761921514729832,0.8339630898021314,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,13,target_h13,620.2772317351598,1007.9827933830412,6.669076793311116,6.761442132528961,0.7663565449010655,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,14,target_h14,620.2271955859969,1007.947213802968,6.668664422906787,6.76091452068957,0.7053120243531193,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,15,target_h15,620.1837176560123,1007.9143825472788,6.668376621334296,6.760464643207817,0.6330898021308967,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,16,target_h16,620.1535939878235,1007.8869691866258,6.668302881739664,6.760150957637758,0.5146898782343986,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,17,target_h17,620.1358789954338,1007.868759488049,6.668313228668582,6.759964582976943,0.3841590563165905,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,18,target_h18,620.124153348554,1007.8662619852572,6.668346257562263,6.759857646676724,0.3032324961948235,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,19,target_h19,620.1098991628614,1007.8625638403053,6.6682941307175145,6.7597373469240205,0.2562690258751893,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,20,target_h20,620.1031659056316,1007.85860663754,6.668217817161007,6.759713981538298,0.2779337899543383,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,21,target_h21,620.105443302892,1007.8601970989374,6.668192274579457,6.759815015112632,0.3783200152207021,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,22,target_h22,620.1174505327245,1007.8677038069494,6.668273367905061,6.760024710192708,0.5017465753424665,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,23,target_h23,620.1228633942161,1007.8709683984598,6.668311724484445,6.760146374763496,0.5995414764079132,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2024,24,target_h24,620.1308713850838,1007.8724899755264,6.668333818587098,6.760270018197448,0.6396270928462702,52560,seasonal_naive,Seasonal Naive,Baseline
fold_2023,1,target_h01,511.7824768125458,924.2453400761958,4.86368867532379,5.671709927533291,-313.0922775690284,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,2,target_h02,532.5848780876108,963.780599553257,5.036174225358007,5.902197730535471,-320.9688442344741,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,3,target_h03,518.7232713864212,921.999034783458,4.998489052112653,5.748540995549009,-283.4109413686834,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,4,target_h04,512.4292004965758,895.7385583286334,5.021800017264033,5.678751576826977,-248.66979820648012,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,5,target_h05,507.8927416048706,873.5534617174113,5.048498875246184,5.62843718709264,-215.4997264481657,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,6,target_h06,525.4596897417573,907.3491580477736,5.214523245100464,5.823064286546652,-213.035745537288,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,7,target_h07,535.9780808422863,927.5825129186636,5.342120113438323,5.939572069090706,-198.31947013217933,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,8,target_h08,548.6867329277592,949.378873672298,5.4742502534433735,6.080345583705378,-191.7130612998851,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,9,target_h09,563.9046236063838,982.0821341959044,5.618652743127193,6.248909456996617,-190.69806392376208,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,10,target_h10,576.0724418105193,1003.2157515398736,5.738789310182803,6.383651712464669,-189.3551157294571,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,11,target_h11,582.4900835671884,1013.832549215806,5.808354691204899,6.454668446750751,-188.64199711803585,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,12,target_h12,588.9919317836041,1025.5356496031966,5.880336209658667,6.526621301332565,-184.41154066211,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,13,target_h13,597.156619757715,1039.2674393278653,5.952672534326707,6.616999305328666,-187.3501658332044,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,14,target_h14,598.5466104340563,1036.1109974432502,5.990306725752777,6.632304524361856,-179.58757515064175,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,15,target_h15,599.6432614470253,1031.713638988513,6.029702014948871,6.644357811696497,-170.6047200810285,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,16,target_h16,602.9863355839333,1031.2933293009885,6.088175856501692,6.681288394311781,-160.28326675440545,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,17,target_h17,603.7065810357079,1026.7569628180909,6.12979804376653,6.689141881982712,-150.7730736690681,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,18,target_h18,606.9445154029958,1034.7733053202537,6.174993998884407,6.724902026346349,-146.15236005124711,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,19,target_h19,605.458182058856,1033.6781103677529,6.18510129072833,6.708328574360446,-135.85925279173532,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,20,target_h20,608.1415219416533,1036.811709424887,6.22268400786374,6.737974409767136,-130.87974078178797,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,21,target_h21,605.6452091693612,1032.7776471495536,6.216183567838426,6.710253495885307,-122.5910755991467,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,22,target_h22,607.096475027284,1037.9438699498253,6.231834731199488,6.726279228317725,-119.8017765708124,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,23,target_h23,602.5611705684404,1029.7624480788947,6.214212339323856,6.675982530824198,-109.29169341923388,52416,random_forest,Random Forest Regressor,Bagging
fold_2023,24,target_h24,597.8071767266266,1028.3999177080402,6.179369432678246,6.623252890831877,-100.36039583187424,52416,random_forest,Random Forest Regressor,Bagging
fold_2024,1,target_h01,366.45146775440793,562.2269833300043,3.958939779576974,3.994555208148889,-95.44895886237408,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,2,target_h02,382.0063492243868,589.759776843862,4.105564711273121,4.16413681532907,-89.12757110171532,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,3,target_h03,400.18392209025126,625.7947642642056,4.271204883457897,4.362317718861116,-81.31958086303763,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,4,target_h04,421.23827515466246,667.7643743917713,4.462562946066155,4.591859357263735,-77.18256381259815,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,5,target_h05,442.2944970643012,712.0488151347406,4.647828430878696,4.821415971905782,-72.49089277763363,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,6,target_h06,462.2598493956147,754.3983040548461,4.8307903946657405,5.039072047255163,-68.16172458569167,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,7,target_h07,480.7444322124203,793.5536653771364,5.007939905187513,5.240572765613854,-65.67761114321304,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,8,target_h08,497.32509749639,829.6510161342464,5.168015745242084,5.421295392148172,-63.99232591980867,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,9,target_h09,511.889287124229,858.3657259422158,5.307313673179234,5.5800190402169845,-62.15839563034984,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,10,target_h10,522.9671244776853,880.4094628790115,5.4192937752634185,5.700742214143827,-63.96098346840175,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,11,target_h11,531.145806583899,892.6884388529061,5.511198476211219,5.789869139863753,-64.8485773017263,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,12,target_h12,538.2876501783783,903.1995775631116,5.594592580707815,5.8677055798641815,-65.35290041736135,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,13,target_h13,543.1857500599219,911.234121650337,5.64515634067593,5.921092744240281,-69.00778157290239,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,14,target_h14,546.6452923443485,916.7048782970808,5.690835662023332,5.958819801807707,-66.2822106480599,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,15,target_h15,551.6014675056083,922.836738321388,5.753659361582124,6.012867013515442,-66.3241473286279,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,16,target_h16,555.7083032310875,929.044755970033,5.816880576537684,6.057647741905452,-62.72411277814335,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,17,target_h17,559.906223905314,935.053728958664,5.870232267283107,6.103414383182545,-60.68929824272541,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,18,target_h18,563.6375768095156,940.8561948160908,5.916965871597506,6.144108019299468,-59.000850818899046,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,19,target_h19,567.3224848402907,946.5010023544088,5.953218790522099,6.184308609976672,-60.7129020171242,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,20,target_h20,568.7942185858234,947.0834402575252,5.97374865331821,6.200397681210779,-55.9688276717552,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,21,target_h21,569.5911336349744,947.8211694066543,5.98794766738343,6.209154812627604,-55.03474876426368,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,22,target_h22,568.3456979119128,946.1491784977216,5.983028388477739,6.195650450597183,-50.80394887277851,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,23,target_h23,568.9968046012744,945.4457613808588,5.989829446645298,6.202805787265537,-47.35707209951016,52560,random_forest,Random Forest Regressor,Bagging
fold_2024,24,target_h24,569.016915988516,944.4798467856256,5.989243531973557,6.203058377681772,-43.96066406302474,52560,random_forest,Random Forest Regressor,Bagging
fold_2023,1,,126.58459671674092,186.62650797911377,1.4398450302618375,1.4028442676322943,-11.996049036982829,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,2,,234.87785261337183,349.3546754703765,2.623915060327429,2.6029569852331425,-31.039289134398214,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,3,,331.3829227558652,495.0481141263701,3.66176960285784,3.672417301802221,-53.46635580310418,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,4,,411.926275309944,616.7281300760113,4.509693202295723,4.564975967774575,-76.99081417430828,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,5,,477.3192092368413,715.6059371251451,5.181602880384887,5.289623117851871,-100.2202211453852,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,6,,527.8208227006538,794.5155890854046,5.680900614161891,5.849230002541908,-122.34147867183118,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,7,,564.9614305667862,855.2996589839732,6.0272946580643145,6.26075814114387,-142.9156160989719,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,8,,590.0694736763567,900.7309626001696,6.22460755142383,6.53893397276615,-161.74222638906176,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,9,,606.0692398509683,934.319069119812,6.311944988722209,6.7161566796144125,-178.7951271181486,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,10,,617.7546338521128,960.7778461734176,6.357929629643344,6.845546046047664,-194.12755844784363,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,11,,628.6088047599952,983.7700300775292,6.418894101598502,6.965717583698622,-207.81306605608987,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,12,,641.2670791488031,1004.770002535225,6.526908049769799,7.105882360632365,-219.96958122127936,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,13,,655.9128708696447,1024.7786043069864,6.6727758196619,7.268068153814513,-230.73084620377148,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,14,,671.5556375279845,1044.2167397996477,6.834765976978968,7.44129432110161,-240.2457958359714,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,15,,687.4389922080572,1063.0330185015378,7.006498059708079,7.6171799661687505,-248.650354999799,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,16,,702.1547541286421,1080.6347869762774,7.168888522284034,7.78010733067023,-256.07790400134246,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,17,,714.3776528787361,1095.7965739994786,7.29936662181736,7.915390733732981,-262.63465343688983,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,18,,723.7535007076732,1108.2020652503609,7.395459022269557,8.019137268672107,-268.39129197598464,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,19,,731.1300778923205,1118.2764175264826,7.463875768478466,8.100742443385885,-273.432620385673,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,20,,736.3419603230368,1126.472626617939,7.506461528061473,8.158386011291634,-277.8159090777093,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,21,,740.3781738320367,1133.2106639228368,7.536284801289593,8.203029024281985,-281.6218540235001,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,22,,743.3893052682668,1139.010719148319,7.555429842309201,8.23632527656295,-284.9326663521676,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,23,,745.8751037048098,1144.2235710217471,7.57033584201521,8.263806905799315,-287.8326494408772,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,24,,749.3127277237511,1150.047089493144,7.599471322698687,8.301820190932487,-290.4033687408127,52416,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,1,,134.13858607346333,215.992162418086,1.5162654391467665,1.462196320011972,-7.965883511013479,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,2,,242.19043252521655,378.9025704193535,2.6781480831197717,2.6400453773775734,-20.487560100633814,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,3,,337.6182737956929,518.3891354839919,3.694583083149007,3.6803032223221175,-35.06448545207617,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,4,,416.2177672807486,631.4423253915951,4.5121877766925405,4.537131505074655,-50.267372440986406,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,5,,478.664882012544,723.7124531055301,5.170128088469319,5.217886549897906,-65.27229027871162,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,6,,524.4619378904088,794.7876060733408,5.646620440987712,5.717133976762603,-79.62881023397901,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,7,,555.8872721589491,846.4663917180898,5.957760882153373,6.059701379839096,-93.11718828263244,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,8,,575.1724623785507,881.8989616247693,6.117324981004016,6.269902395195307,-105.65708202776358,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,9,,585.1564294088469,905.3475143683193,6.163879773859136,6.378691837741729,-117.22370371038564,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,10,,591.1426489982284,922.6172166049246,6.17244703762458,6.443907649244217,-127.82154704865924,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,11,,597.7301291512732,936.8626477472916,6.208828225114806,6.515685873523079,-137.50250145376094,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,12,,606.2457908936185,950.5577511249464,6.289148138956062,6.608496050052137,-146.33188397149752,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,13,,616.6557810940238,964.7433268647502,6.400166785909265,6.721965866606136,-154.3772008830317,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,14,,628.8039229712083,979.4175363878536,6.53578553132269,6.854406907239769,-161.6822778435119,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,15,,641.6541740051982,994.9717068405928,6.686623855617484,6.994508615808074,-168.32906493779345,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,16,,654.2976189182824,1009.7251360320336,6.8372330799722505,7.132347079806456,-174.40760045785512,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,17,,664.8164777610067,1022.3630336195446,6.959684282258144,7.247017945686345,-179.94627080278966,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,18,,673.3286307672834,1032.487218832958,7.053057650714132,7.339829724162127,-184.9424708578433,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,19,,679.9452055497613,1040.5364473824202,7.119426737473626,7.411994238475339,-189.4531884048242,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,20,,684.4907148336794,1046.5541218305502,7.162093478003946,7.4615994719796435,-193.49500956369488,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,21,,688.0181985592311,1051.517993542588,7.191261548983919,7.500136951740485,-197.0943852410661,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,22,,690.4517770374164,1055.9598733132984,7.208736142343342,7.526753310940879,-200.3356838932823,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,23,,692.3540255588667,1060.292247628545,7.21985236054936,7.547560059818852,-203.2930834607804,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,24,,695.7627472933685,1066.3814301110724,7.248350481955694,7.58476034228149,-206.0229024570596,52560,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,1,target_h01,516.5638401147938,950.9286460065948,4.831500025930664,5.7246982710916745,-385.6553623502217,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,2,target_h02,547.5520495255206,996.6319628722968,5.082608087989391,6.068066513011181,-404.5731469551431,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,3,target_h03,576.6573442126078,1039.9759406251742,5.358133206550654,6.3905719416261535,-418.178905978919,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,4,target_h04,605.7489108904232,1108.4855782349173,5.566405128458976,6.712922642868009,-431.3886577368655,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,5,target_h05,634.7464616712633,1141.4482083250846,5.884837582684664,7.03422257612305,-450.34941902579845,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,6,target_h06,651.4380191816953,1186.265668040124,5.991124880218766,7.219136954653766,-451.8179067357847,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,7,target_h07,686.1905981741545,1246.447151894131,6.300874411157073,7.604188784330409,-465.65363855327,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,8,target_h08,710.5111253284272,1318.5253498076406,6.477126872854003,7.873624281039501,-481.6210434034484,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,9,target_h09,734.853853016575,1345.0680999211393,6.711090630955939,8.14328345502449,-494.80742675352735,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,10,target_h10,764.2822533939348,1406.972588353144,6.948532805947671,8.469267685068868,-513.471869232774,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,11,target_h11,809.1662538959283,1465.3302619288163,7.336338095545575,8.96650438272244,-542.4394866132911,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,12,target_h12,791.145993373624,1440.1692612511226,7.221364378572913,8.766691043084242,-511.2004538809714,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,13,target_h13,819.0748592586308,1492.8036561466895,7.433766092532186,9.076040682468737,-537.4523072229928,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,14,target_h14,832.3515707265182,1508.8371032600255,7.548044269496809,9.22302288937176,-541.318796826224,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,15,target_h15,837.8953002901741,1529.0675523123912,7.583947522644287,9.284313760872026,-522.9940180153201,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,16,target_h16,823.3485933166429,1498.228059362298,7.509374673143081,9.12297522575235,-490.4611372522674,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,17,target_h17,822.9391504560199,1483.466229263155,7.568584403624805,9.118265247655204,-470.7383536193251,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,18,target_h18,825.5032520820516,1474.7154384057126,7.648845364359944,9.14651727101625,-461.1409682705871,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,19,target_h19,816.1015089852469,1455.8438508878046,7.615513910040733,9.042205117598398,-421.423234763978,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,20,target_h20,812.2923143491639,1433.065517753775,7.705378890364803,8.999886753103997,-378.51573753682976,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,21,target_h21,815.5040814289098,1438.400664005905,7.725719489134004,9.035387435528833,-378.0071262392224,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,22,target_h22,807.983279299707,1448.1921720708092,7.642945965064264,8.95198929978536,-361.2481230478438,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,23,target_h23,786.9105156177711,1386.6853558223988,7.578756700324181,8.718452353360542,-337.0908198057368,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,24,target_h24,772.7053905994755,1366.8958969860655,7.474720437837501,8.56099326219648,-298.618672510876,52416,xgboost,XGBoost Regressor,Gradient Boosting
fold_2024,1,target_h01,301.99822373202943,445.6106997409462,3.4038684837706974,3.2919736543911853,-73.31059572542094,52560,xgboost,XGBoost Regressor,Gradient Boosting
fold_2024,2,target_h02,320.8569508359494,479.8942948101232,3.569598804963814,3.4975655356068405,-71.24077447388996,52560,xgboost,XGBoost Regressor,Gradient Boosting
fold_2024,3,target_h03,343.76198405319514,525.6990269994274,3.764579052943581,3.7472744688826096,-67.63552860161303,52560,xgboost,XGBoost Regressor,Gradient Boosting
fold_2024,4,target_h04,363.52274668515,568.5161019141469,3.9420654357015694,3.962710476229962,-67.70196988319152,52560,xgboost,XGBoost Regressor,Gradient Boosting
fold_2024,5,target_h05,387.1213156132575,616.6622177001927,4.1377956138499234,4.219977654145647,-76.00402418813023,52560,xgboost,XGBoost Regressor,Gradient Boosting
fold_2024,6,target_h06,406.7737027112244,655.2615928642537,4.334020799806996,4.434220271500088,-67.30349123602043,52560,xgboost,XGBoost Regressor,Gradient Boosting
fold_2024,7,target_h07,426.1831002542853,692.6093655852295,4.526044434656215,4.645802215699138,-66.51672824528664,52560,xgboost,XGBoost Regressor,Gradient Boosting
fold_2024,8,target_h08,440.0994669243335,724.4636629893837,4.655324355458027,4.797484028324299,-68.53330881708108,52560,xgboost,XGBoost Regressor,Gradient Boosting
