model_key,model,family,mae,rmse,mape,wape,bias,abs_bias,n_observations
seasonal_naive,Seasonal Naive,Baseline,612.0486082136233,994.2925039259226,6.589648500311822,6.72641067953296,-0.8376582504572482,0.8376582504572482,2519424
random_forest,Random Forest Regressor,Bagging,542.255100925175,926.1848579513244,5.552179708534576,5.959380436367659,-125.31217813203186,125.31217813203186,2519424
sarimax,SARIMAX Rolling,Statistical Time Series,583.6354547604534,929.4866358538223,6.089956110031017,6.414150286711505,-164.6217292329206,164.6217292329206,2519424
xgboost,XGBoost Regressor,Gradient Boosting,606.2658777974954,1106.771203785701,5.929866736315772,6.662858505561957,-251.04629301188325,251.04629301188325,2519424
lightgbm,LightGBM Regressor,Gradient Boosting,580.8359731656727,1044.368140933129,5.735130025369868,6.383384000106839,-213.04048351091,213.04048351091,2519424
