model,family,precision,recall,f1,pr_auc,roc_auc,balanced_accuracy,brier_score,positive_rate_pct
HistGradientBoosting,Gradient Boosting,0.9907893673749696,0.113782289192399,0.2041230764109094,0.896260693885092,0.8931993554549372,0.5563317067821292,,51.4041514041514
LightGBM Classifier,Gradient Boosting,0.9789300907781464,0.2711549881235154,0.4246779385158651,0.9079054432765284,0.9061445164878834,0.6324907713858783,0.325402260511734,51.4041514041514
Logistic Regression,Baseline,0.9156281499129478,0.3708525089073634,0.5278944448846977,0.8844450900848948,0.9122759281822724,0.6673524871798124,,51.4041514041514
Random Forest Classifier,Bagging,0.98799022212775,0.1725059382422802,0.2937264009352734,0.9276785590706174,0.9259912494054792,0.5851439081914919,0.3021865706519088,51.4041514041514
XGBoost Classifier,Gradient Boosting,0.9832716908146992,0.2688724762470308,0.4222751681275364,0.914291695616944,0.9106178956211712,0.6320169149451235,0.3241305571714456,51.4041514041514
