fold,fsa,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc,model_key,model,family,predicted_positive_rate_pct,brier_score
fold_2023,L4T,0.6410256410256411,0.3012048192771084,0.4098360655737705,0.6489688040376207,209664,1.90018315018315,0.4866138880682952,0.9551113572824944,logistic_regression,Logistic Regression,Baseline,,
fold_2023,M5R,0.9565217391304348,0.127906976744186,0.2256410256410256,0.5638951044393513,209664,1.9688644688644688,0.4478437288658038,0.9425101301592084,logistic_regression,Logistic Regression,Baseline,,
fold_2023,M5S,0.0,0.0,0.0,0.5,209664,1.5796703296703296,0.3080861792344397,0.90824342493517,logistic_regression,Logistic Regression,Baseline,,
fold_2023,M6G,0.7939914163090128,0.1582819986310746,0.2639463546868312,0.5779287311618218,209664,5.5746336996337,0.5576823429491264,0.9401449837827676,logistic_regression,Logistic Regression,Baseline,,
fold_2023,M9R,0.8536585365853658,0.1190982560612505,0.2090332213512504,0.559193767265415,209664,3.3639537545787546,0.5252266938561029,0.94523573648612,logistic_regression,Logistic Regression,Baseline,,
fold_2023,M9W,0.9156281499129478,0.3708525089073634,0.5278944448846977,0.6673524871798124,209664,51.4041514041514,0.8844450900848948,0.9122759281822724,logistic_regression,Logistic Regression,Baseline,,
fold_2024,L4T,0.4437869822485207,0.3061224489795918,0.3623188405797101,0.6475415533212698,210240,2.796803652968036,0.367107192134905,0.961233717209726,logistic_regression,Logistic Regression,Baseline,,
fold_2024,M5R,1.0,0.0408163265306122,0.0784313725490196,0.5204081632653061,210240,1.678082191780822,0.3587264483243406,0.9543129580902114,logistic_regression,Logistic Regression,Baseline,,
fold_2024,M5S,0.0,0.0,0.0,0.5,210240,1.3584474885844748,0.1306323479079783,0.8285481500589278,logistic_regression,Logistic Regression,Baseline,,
fold_2024,M6G,0.7931034482758621,0.2884012539184953,0.4229885057471264,0.642778994451251,210240,3.641552511415525,0.5942864776946457,0.9710710252843604,logistic_regression,Logistic Regression,Baseline,,
fold_2024,M9R,0.7884615384615384,0.1166982922201138,0.2033057851239669,0.5576950590570164,210240,4.010654490106545,0.5796810008389944,0.9636809575639256,logistic_regression,Logistic Regression,Baseline,,
fold_2024,M9W,0.7577092511013216,0.3714902807775378,0.4985507246376812,0.6787244612976278,210240,10.570776255707765,0.6658341426389277,0.9417850216353384,logistic_regression,Logistic Regression,Baseline,,
fold_2023,L4T,0.6504474272930649,0.2919176706827309,0.402979902979903,0.6444394848940687,209664,1.90018315018315,0.4682116555077829,0.9412666052190092,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,M5R,0.8041811846689896,0.2795542635658914,0.4148840553658098,0.6390935532370949,209664,1.9688644688644688,0.5963317642158453,0.9693058365848054,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,M5S,0.6742700729927007,0.446256038647343,0.5370639534883721,0.7213979658228573,209664,1.5796703296703296,0.6033975624458543,0.9798452858236888,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,M6G,0.9437166424065988,0.166409993155373,0.2829296676121899,0.582912031773872,209664,5.5746336996337,0.644767010253721,0.9420738718576692,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,M9R,0.8601769911504424,0.2067205444491705,0.3333333333333333,0.6027754076318436,209664,3.3639537545787546,0.5649192208654934,0.940455218318668,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,M9W,0.9907893673749696,0.113782289192399,0.2041230764109094,0.5563317067821292,209664,51.4041514041514,0.896260693885092,0.8931993554549372,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,L4T,0.7850375694217576,0.4086734693877551,0.5375237669164523,0.7027268306030574,210240,2.796803652968036,0.7151015812521346,0.9880844648732464,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,M5R,0.6878483835005574,0.3497732426303855,0.4637354378053363,0.6735320797307661,210240,1.678082191780822,0.5963132216021668,0.9875476698977772,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,M5S,0.5697602950215119,0.3245798319327731,0.413562346642873,0.6606022254984624,210240,1.3584474885844748,0.509879960361478,0.9877070979898344,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,M6G,0.7373093997297819,0.4989550679205851,0.5951546311443484,0.7461184335377518,210240,3.641552511415525,0.6996304322315441,0.98113465006515,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,M9R,0.8108838286375917,0.2491698292220114,0.3812029393087181,0.6233708893989229,210240,4.010654490106545,0.6595556470770617,0.9759225116568612,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,M9W,0.7812818769126147,0.4135619150467962,0.5408379428033424,0.699938454757676,210240,10.570776255707765,0.7272857018285772,0.9612794035738056,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,L4T,0.4742109314857582,0.463855421686747,0.4689760182717929,0.7269466723369558,209664,1.90018315018315,0.4661260864024165,0.9776898140988692,random_forest,Random Forest Classifier,Bagging,1.8586881868131868,0.0154211684746773
fold_2023,M5R,0.5156411850010358,0.6029554263565892,0.555890563930765,0.7957901450637064,209664,1.9688644688644688,0.5698299919898129,0.9714113460536384,random_forest,Random Forest Classifier,Bagging,2.302255036630037,0.0143384002593664
fold_2023,M5S,0.4537481728962205,0.6560990338164251,0.5364769781508456,0.8217108334934649,209664,1.5796703296703296,0.5697641132807095,0.9800852235242984,random_forest,Random Forest Classifier,Bagging,2.2841307997558,0.0137744282705721
fold_2023,M6G,0.8081272762123826,0.3607118412046543,0.4987873410233658,0.6778278363900995,209664,5.5746336996337,0.6436036286429864,0.9535479493957288,random_forest,Random Forest Classifier,Bagging,2.488266941391941,0.031243802482069
fold_2023,M9R,0.5913689861655999,0.406068339713597,0.4815063887020847,0.6981504271182503,209664,3.3639537545787546,0.5242174568637133,0.9470739630239516,random_forest,Random Forest Classifier,Bagging,2.3098862942612945,0.0228672721294136
fold_2023,M9W,0.98799022212775,0.1725059382422802,0.2937264009352734,0.5851439081914919,209664,51.4041514041514,0.9276785590706174,0.9259912494054792,random_forest,Random Forest Classifier,Bagging,8.975312881562882,0.3021865706519088
fold_2024,L4T,0.6457029461150969,0.7193877551020408,0.680556672834044,0.8540151733036139,210240,2.796803652968036,0.7138097648740664,0.9890993260193096,random_forest,Random Forest Classifier,Bagging,3.115962709284627,0.0155410315811057
fold_2024,M5R,0.4978723404255319,0.6632653061224489,0.5687894992707827,0.8259242278125694,210240,1.678082191780822,0.5704588084346994,0.9878309582343976,random_forest,Random Forest Classifier,Bagging,2.2355403348554037,0.0132172567292108
fold_2024,M5S,0.4527771267869697,0.6764705882352942,0.5424680612101642,0.8326056409139284,210240,1.3584474885844748,0.5423893003759181,0.988891967792788,random_forest,Random Forest Classifier,Bagging,2.029585235920852,0.0116912164032927
fold_2024,M6G,0.599935036812473,0.7237460815047022,0.6560502012787118,0.852753366938032,210240,3.641552511415525,0.706797280400932,0.980595181905992,random_forest,Random Forest Classifier,Bagging,4.393074581430746,0.0213866176239096
fold_2024,M9R,0.6227300060132291,0.6140891840607211,0.6183794112378337,0.7992723530705572,210240,4.010654490106545,0.6454787707927737,0.9772266434980904,random_forest,Random Forest Classifier,Bagging,3.955003805175038,0.0223778518112202
