model,fold_pr_auc_mean,fold_pr_auc_std,fold_pr_auc_range,horizon_pr_auc_slope,short_horizon_pr_auc_h01_h06,long_horizon_pr_auc_h19_h24
HistGradientBoosting,0.6532790929606829,0.02875037504956507,0.05750075009913014,-0.009619608068895055,0.7672408314793495,0.5916341230922307
LightGBM Classifier,0.6295195558126316,0.03633246308683391,0.07266492617366782,-0.010181464778940781,0.7570145552311324,0.5703723416019714
Logistic Regression,0.6414708525039857,0.10268447750011023,0.20536895500022045,2.5991145298344563e-05,0.6413910236502575,0.6418611918015855
Random Forest Classifier,0.6505511118617145,0.022152392133418797,0.044304784266837594,-0.007502117866957759,0.7360879766741895,0.600645044798218
XGBoost Classifier,0.6416632015239496,0.02924041459515697,0.05848082919031394,-0.010639192752867286,0.7696681903319448,0.5737004832270938
