model,fold_mae_mean,fold_mae_std,fold_mae_cv,fold_mae_range,horizon_mae_slope,short_horizon_mae_h01_h06,long_horizon_mae_h19_h24
LightGBM Regressor,580.9869511747211,110.06296859615401,0.18944137794078375,220.12593719230802,10.71640275355365,457.5279995856318,650.361522565427
Random Forest Regressor,542.2965716665915,30.232170492624277,0.05574840792320419,60.464340985248555,6.635143158614556,465.2755515677838,586.5647492545845
SARIMAX Rolling,583.6556038577139,14.688691902844425,0.025166710994905993,29.37738380568885,19.731865415645988,353.6002965759576,714.7875014647121
Seasonal Naive,612.0372969328661,8.245923672156778,0.013472910414904449,16.491847344313555,-0.014140368960864723,612.1769881961171,611.9353964503676
XGBoost Regressor,606.4514420356261,135.2763295972597,0.22306209569423838,270.5526591945194,11.350252585349812,471.3951291022592,676.2986328355614
