model,family,mae,rmse,mape,wape,bias
LightGBM Regressor,Gradient Boosting,1922.876179493098,,12.776346935986199,,
Random Forest Regressor,Bagging,1188.7182569127413,1775.1420212682046,7.530990790682754,8.336498462208587,-973.4236323929678
SARIMAX Rolling,Statistical Time Series,1223.320379608208,,8.124586573279085,,
Seasonal Naive,Baseline,841.6004225808913,1332.3638407452947,5.6680170195160695,5.902156030530885,-6.180456349206348
XGBoost Regressor,Gradient Boosting,2158.5619494790085,,14.294676001647195,,
