fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc,model_key,model,family,predicted_positive_rate_pct,brier_score
fold_2023,1,0.8983463035019456,0.3216089152011144,0.473650468008719,0.6585654757480943,52416,10.956578144078144,0.7436782397545825,0.9414656726078978,logistic_regression,Logistic Regression,Baseline,,
fold_2023,2,0.8983463035019456,0.3216089152011144,0.473650468008719,0.6585654757480943,52416,10.956578144078144,0.7437105247535533,0.941476756648771,logistic_regression,Logistic Regression,Baseline,,
fold_2023,3,0.8983463035019456,0.3216089152011144,0.473650468008719,0.6585654757480943,52416,10.956578144078144,0.7437396633029238,0.9414871094637902,logistic_regression,Logistic Regression,Baseline,,
fold_2023,4,0.8983463035019456,0.3216089152011144,0.473650468008719,0.6585654757480943,52416,10.956578144078144,0.7437642001339354,0.9414964400549124,logistic_regression,Logistic Regression,Baseline,,
fold_2023,5,0.8983463035019456,0.3216089152011144,0.473650468008719,0.6585654757480943,52416,10.956578144078144,0.7437863025368845,0.9415050319586924,logistic_regression,Logistic Regression,Baseline,,
fold_2023,6,0.8983463035019456,0.3216089152011144,0.473650468008719,0.6585654757480943,52416,10.956578144078144,0.7438078462967809,0.9415132433265688,logistic_regression,Logistic Regression,Baseline,,
fold_2023,7,0.8983463035019456,0.3216089152011144,0.473650468008719,0.6585654757480943,52416,10.956578144078144,0.7438317782385684,0.9415221523436018,logistic_regression,Logistic Regression,Baseline,,
fold_2023,8,0.8983463035019456,0.3216089152011144,0.473650468008719,0.6585654757480943,52416,10.956578144078144,0.7438582317786129,0.9415316060492808,logistic_regression,Logistic Regression,Baseline,,
fold_2023,9,0.8983957219251337,0.32178304022288,0.4738461538461538,0.6586525382589771,52416,10.956578144078144,0.7438892865181255,0.9415419663257883,logistic_regression,Logistic Regression,Baseline,,
fold_2023,10,0.8983957219251337,0.32178304022288,0.4738461538461538,0.6586525382589771,52416,10.956578144078144,0.743924110740037,0.9415530951355914,logistic_regression,Logistic Regression,Baseline,,
fold_2023,11,0.8983957219251337,0.32178304022288,0.4738461538461538,0.6586525382589771,52416,10.956578144078144,0.7439476590923959,0.9415599895507826,logistic_regression,Logistic Regression,Baseline,,
fold_2023,12,0.8983957219251337,0.3217270194986072,0.4737854121266504,0.6586244799241407,52416,10.95848595848596,0.7439973930858819,0.9415719891164844,logistic_regression,Logistic Regression,Baseline,,
fold_2023,13,0.8983957219251337,0.3216710182767624,0.4737246859779543,0.6585964313384627,52416,10.960393772893774,0.7440482152116076,0.9415778904081248,logistic_regression,Logistic Regression,Baseline,,
fold_2023,14,0.8984450923226434,0.3217890706578489,0.47385955920041,0.6586554095521943,52416,10.962301587301589,0.7441073829388273,0.9415823798871906,logistic_regression,Logistic Regression,Baseline,,
fold_2023,15,0.8984450923226434,0.3217330781277188,0.4737988468930173,0.6586273653082615,52416,10.964209401709402,0.7441890834037936,0.9415900181152416,logistic_regression,Logistic Regression,Baseline,,
fold_2023,16,0.8984944147644488,0.3218510786360473,0.4739336492890995,0.6586863175815019,52416,10.966117216117215,0.7442907388411419,0.9415991484645324,logistic_regression,Logistic Regression,Baseline,,
fold_2023,17,0.8983957219251337,0.3213913043478261,0.4734212885871653,0.6584563344693745,52416,10.969932844932844,0.7444161742259475,0.9416100391496276,logistic_regression,Logistic Regression,Baseline,,
fold_2023,18,0.8989800874210782,0.3218011126564673,0.4739469978235821,0.6586718575454461,52416,10.973748473748474,0.7445338907272149,0.9415652531624896,logistic_regression,Logistic Regression,Baseline,,
fold_2023,19,0.899612027158099,0.3223844282238443,0.4746673490276356,0.65897413516117,52416,10.977564102564102,0.7447835862858206,0.9415958838547344,logistic_regression,Logistic Regression,Baseline,,
fold_2023,20,0.8995633187772926,0.3221546481320591,0.4744114636642784,0.6588591975792418,52416,10.979471916971915,0.7448418015797245,0.9415874571290408,logistic_regression,Logistic Regression,Baseline,,
fold_2023,21,0.8995145631067961,0.3219249478804725,0.4741555783009212,0.6587442999153756,52416,10.98137973137973,0.7448763808055913,0.941578176163556,logistic_regression,Logistic Regression,Baseline,,
fold_2023,22,0.8995633187772926,0.3220427305888483,0.4742900997697621,0.6588031437294528,52416,10.983287545787546,0.7449327249273959,0.9415832489386528,logistic_regression,Logistic Regression,Baseline,,
fold_2023,23,0.8995633187772926,0.3220427305888483,0.4742900997697621,0.6588031437294528,52416,10.983287545787546,0.7449114995993897,0.9415795596554176,logistic_regression,Logistic Regression,Baseline,,
fold_2023,24,0.8995633187772926,0.3220427305888483,0.4742900997697621,0.6588031437294528,52416,10.983287545787546,0.7449384079814733,0.9415874221843704,logistic_regression,Logistic Regression,Baseline,,
fold_2024,1,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.5390460078303924,0.9545595688068472,logistic_regression,Logistic Regression,Baseline,,
fold_2024,2,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.5390420753603746,0.9545594841443686,logistic_regression,Logistic Regression,Baseline,,
fold_2024,3,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.5390359045278548,0.9545591925291648,logistic_regression,Logistic Regression,Baseline,,
fold_2024,4,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.5390311746533775,0.9545588350653662,logistic_regression,Logistic Regression,Baseline,,
fold_2024,5,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.539028366170997,0.9545584493807416,logistic_regression,Logistic Regression,Baseline,,
fold_2024,6,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.5390219784814337,0.9545579884405804,logistic_regression,Logistic Regression,Baseline,,
fold_2024,7,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.5390176586551503,0.9545576780114922,logistic_regression,Logistic Regression,Baseline,,
fold_2024,8,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.539011651150273,0.9545573205476936,logistic_regression,Logistic Regression,Baseline,,
fold_2024,9,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.5390099690854068,0.9545575086865348,logistic_regression,Logistic Regression,Baseline,,
fold_2024,10,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.5390112038958612,0.9545576215698396,logistic_regression,Logistic Regression,Baseline,,
fold_2024,11,0.7001254705144291,0.2648315140009492,0.384297520661157,0.6300472159821011,52560,4.00875190258752,0.5390168790288964,0.9545581201377692,logistic_regression,Logistic Regression,Baseline,,
