feature,dtype,non_null_count,missing_count,missing_pct,unique_count,mean,median,minimum,maximum
utc_offset_hours,Int8,262944,0,0.0,2,-4.348416392844103,-4.0,-5,-4
date_index,Int32,262944,0,0.0,1826,912.5,912.5,0,1825
hour_sin,Float64,262944,0,0.0,21,-1.8334825902596292e-17,6.123233995736766e-17,-1.0,1.0
hour_cos,Float64,262944,0,0.0,22,-5.550439558427824e-17,-6.123233995736765e-17,-1.0,1.0
weekday_sin,Float64,262944,0,0.0,7,-0.00023761431496034798,0.0,-0.9749279121818236,0.9749279121818236
weekday_cos,Float64,262944,0,0.0,7,0.000493411209146979,-0.22252093395631434,-0.9009688679024191,1.0
month_sin,Float64,262944,0,0.0,11,-0.0049038787907472025,-2.4492935982947064e-16,-1.0,1.0
month_cos,Float64,262944,0,0.0,11,-0.0020975503937143303,-1.8369701987210297e-16,-1.0,1.0
assigned_climate_id,Int64,262944,0,0.0,2,6158543.0,6158543.0,6158355,6158731
assigned_station_name,category,262944,0,0.0,2,,,,
Longitude (x),float64,262944,0,0.0,2,-79.51500000000001,-79.515,-79.63,-79.4
Latitude (y),float64,262944,0,0.0,2,43.67499999999998,43.675,43.67,43.68
Temp (°C),float64,262803,141,0.053624,564,10.210903985114326,10.1,-21.8,35.8
Dew Point Temp (°C),float64,262800,144,0.054765,541,4.103065068493151,3.9,-30.1,26.0
Rel Hum (%),float64,262800,144,0.054765,87,68.10827625570776,68.0,14.0,100.0
Precip. Amount (mm),float64,131349,131595,50.046778,108,0.09021309640728137,0.0,0.0,45.0
Wind Dir (10s deg),float64,129276,133668,50.835159,36,21.338717163278567,24.0,1.0,36.0
Wind Spd (km/h),float64,131454,131490,50.006846,65,15.726824592633164,14.0,0.0,67.0
Visibility (km),float64,131451,131493,50.007986,30,21.97152931510601,24.1,0.0,80.5
Stn Press (kPa),float64,262803,141,0.053624,664,99.85742594262622,99.88,95.7,103.25
Hmdx,float64,46290,216654,82.395491,22,29.69883344134802,29.0,25.0,46.0
Wind Chill,float64,26346,236598,89.980376,34,-10.62662263721248,-10.0,-34.0,-1.0
Weather,category,56160,206784,78.64184,70,,,,
day_of_year_sin,Float64,262944,0,0.0,366,2.6493901916682523e-06,-0.004300592702981974,-0.9999994220246925,0.9999855506507186
day_of_year_cos,Float64,262944,0,0.0,366,-0.00013695052995701688,0.001075151282798226,-0.9999791929590823,0.9999907524084426
total_consumption_kwh_lag_1h,float64,262938,6,0.002282,157390,8792.666806243296,8111.299999999999,1377.7,33712.2
total_consumption_kwh_lag_2h,float64,262932,12,0.004564,157388,8792.605700713491,8111.199999999999,1377.7,33712.2
total_consumption_kwh_lag_3h,float64,262926,18,0.006846,157385,8792.532023078737,8111.15,1377.7,33712.2
total_consumption_kwh_lag_24h,float64,262800,144,0.054765,157333,8791.435677701675,8110.25,1377.7,33712.2
total_consumption_kwh_lag_48h,float64,262656,288,0.109529,157267,8790.13461752254,8108.9,1377.7,33712.2
total_consumption_kwh_lag_168h,float64,261936,1008,0.383352,156995,8785.521239157655,8102.95,1377.7,33712.2
total_consumption_kwh_rolling_mean_3h,float64,262926,18,0.006846,254313,8792.628936785764,8137.083333333342,2078.23333333333,33631.966666666674
total_consumption_kwh_rolling_std_3h,float64,262926,18,0.006846,262924,449.93401061917933,340.74159310784523,0.8144527290018168,4192.4457670915945
total_consumption_kwh_rolling_min_3h,float64,262926,18,0.006846,139902,8351.354982770818,7659.7,1377.7,33566.5
total_consumption_kwh_rolling_max_3h,float64,262926,18,0.006846,142862,9236.954508873217,8603.45,2107.9,33712.2
total_consumption_kwh_rolling_mean_6h,float64,262908,36,0.013691,235404,8792.570958028411,8203.85,2178.016666666667,33113.683333333334
total_consumption_kwh_rolling_std_6h,float64,262908,36,0.013691,262907,813.5455454663372,639.9620812948668,20.038038825119582,5449.476239419555
total_consumption_kwh_rolling_min_6h,float64,262908,36,0.013691,120112,7764.815395499567,7101.45,1377.7,32288.399999999998
total_consumption_kwh_rolling_max_6h,float64,262908,36,0.013691,125068,9845.338039161987,9358.8,2344.0,33712.2
total_consumption_kwh_rolling_mean_24h,float64,262800,144,0.054765,254333,8792.168643708777,8658.677083333332,3014.2916666666665,27613.53333333333
total_consumption_kwh_rolling_std_24h,float64,262800,144,0.054765,262778,1775.1679024608902,1661.3455299396032,279.68367921035986,7612.644790682796
total_consumption_kwh_rolling_min_24h,float64,262800,144,0.054765,22488,6082.757103881278,5954.4,1377.7,19199.7
total_consumption_kwh_rolling_max_24h,float64,262800,144,0.054765,27713,11316.853133561644,11278.65,3589.9,33712.2
total_consumption_kwh_rolling_mean_168h,float64,261936,1008,0.383352,260684,8789.515739356813,8651.043452380953,3077.1785714285716,22070.799404761907
total_consumption_kwh_rolling_std_168h,float64,261936,1008,0.383352,261925,1902.1614351781207,1832.2356441028041,500.20971519792573,7046.920584816449
total_consumption_kwh_rolling_min_168h,float64,261936,1008,0.383352,6956,5482.3114569971285,5280.999999999999,1377.7,12552.9
total_consumption_kwh_rolling_max_168h,float64,261936,1008,0.383352,7952,12675.5995659245,12663.3,3966.8,33712.2
temperature_change_1h,float64,262731,213,0.081006,592,-0.00040992498030304755,-0.09999999999999787,-12.3,7.0
temperature_change_24h,float64,262518,426,0.162012,1364,-0.0011747765867483355,0.20000000000000018,-20.3,21.700000000000003
humidity_change_1h,float64,262725,219,0.083288,80,0.00043391378818155867,0.0,-45.0,47.0
pressure_change_1h,float64,262731,213,0.081006,151,-7.992966189753018e-05,0.0,-0.7400000000000091,0.4900000000000091
temperature_rolling_mean_6h,float64,262437,507,0.192817,16918,10.209206781056023,10.133333333333335,-21.366666666666664,35.18333333333334
temperature_rolling_mean_24h,float64,261153,1791,0.681134,22760,10.199582189367918,10.133333333333335,-18.633333333333333,30.541666666666668
humidity_rolling_mean_6h,float64,262419,525,0.199662,491,68.11172590399323,68.33333333333333,17.666666666666668,100.0
humidity_rolling_mean_24h,float64,261081,1863,0.708516,1733,68.1189539836296,68.16666666666667,26.0,100.0
heating_degree_c,float64,262803,141,0.053624,393,9.109513590027511,7.9,0.0,39.8
cooling_degree_c,float64,262803,141,0.053624,172,1.320417575141836,0.0,0.0,17.799999999999997
temperature_x_hour,Float64,262803,141,0.053624,5402,124.37201059348638,72.0,-494.5,653.4
temperature_x_weekend,Float64,262803,141,0.053624,543,2.8419915297770575,0.0,-21.8,34.5
