fold,fsa,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
fold_2023,L4T,0.33111111111111113,0.5235943775100401,0.4056787242318164,0.7515531202991663,209664,1.90018315018315,3.0048076923076925,0.022038280273596843,0.4039334252184481,0.9383607504697904
fold_2023,M5R,0.4714698447092813,0.6325096899224806,0.5402441547692944,0.809134437830616,209664,1.9688644688644688,2.6413690476190474,0.015496818301922292,0.5637835985452913,0.9717838936738822
fold_2023,M5S,0.3635302698760029,0.7524154589371981,0.4902134356250615,0.86563598797833,209664,1.5796703296703296,3.2695169413919416,0.017699735756360625,0.6016333299880826,0.9817564121238921
fold_2023,M6G,0.7287424218871444,0.4010951403148528,0.5174107389216931,0.6961404703069395,209664,5.5746336996337,3.0682425213675213,0.03319672971601495,0.6162667314158743,0.9434178666510288
fold_2023,M9R,0.49941626670125827,0.5458670069473983,0.5216095380029806,0.7634103285226846,209664,3.3639537545787546,3.6768353174603177,0.025250812313706864,0.5344284715607577,0.9477918097400916
fold_2023,M9W,0.9789300907781463,0.27115498812351546,0.4246779385158651,0.6324907713858783,209664,51.4041514041514,14.23849587912088,0.32540226051173404,0.9079054432765284,0.9061445164878834
fold_2024,L4T,0.4387224560534786,0.9040816326530612,0.5907651275212535,0.9354010629501359,210240,2.7968036529680362,5.763413242009133,0.02431863588891036,0.7101678781107043,0.987819800458841
fold_2024,M5R,0.3206259189245957,0.8653628117913832,0.4678927203065134,0.9170340317713059,210240,1.678082191780822,4.529109589041096,0.02299990115419336,0.5840094790402665,0.9861996162197996
fold_2024,M5S,0.358141702921069,0.8070728291316527,0.4961256995264744,0.8935766298186906,210240,1.3584474885844748,3.0612633181126334,0.015825193512937208,0.5207204826579015,0.9867532152022942
fold_2024,M6G,0.4060878804925308,0.8486154649947754,0.5493130416402452,0.9008557323394285,210240,3.6415525114155254,7.609874429223744,0.036015538788584316,0.6381099339562851,0.9756472953170223
fold_2024,M9R,0.4821365654287929,0.8114326375711575,0.6048711488308359,0.8875084182068108,210240,4.010654490106545,6.749904870624049,0.029840530735738682,0.6667906220218385,0.9767515500012712
fold_2024,M9W,0.5088154056635432,0.8869240460763139,0.6466545281564228,0.8928599466191288,210240,10.570776255707763,18.426084474885844,0.07241210949922801,0.7058749149397857,0.9567711960500398
