threshold,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
0.05,0.3471142988259195,0.7141955367420445,0.46717268539803436,0.8027755667559429,2519424,7.4825436290199665,15.395503099121068,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.1,0.39164773103311346,0.6592031487876425,0.4913645170218655,0.7881945169693938,2519424,7.4825436290199665,12.594267578621146,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.15,0.42231108590381905,0.6240657341247738,0.5037379896209773,0.7775115412437249,2519424,7.4825436290199665,11.057249593557893,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.2,0.4472957815942917,0.5965509741826998,0.5112526963965459,0.768466919010341,2519424,7.4825436290199665,9.979344485088655,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.25,0.46841068282225096,0.5725425293209631,0.5152681868416468,0.7599956560669169,2519424,7.4825436290199665,9.14597939846568,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.3,0.48748303600358767,0.5506665181389477,0.5171520519692727,0.7519215571010984,2519424,7.4825436290199665,8.452368477874307,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.35,0.5051233031903056,0.5297930690600847,0.5171641539867595,0.7439070656237325,2519424,7.4825436290199665,7.847984301173602,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.4,0.5218262044710748,0.5100176641894365,0.5158543651815607,0.736109751179006,2519424,7.4825436290199665,7.313219212010365,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.45,0.5387166723014328,0.49024225931878823,0.5133376472973386,0.7281459779266137,2519424,7.4825436290199665,6.8092548137987094,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.5,0.5552876787816546,0.4703819814658625,0.5093205517376058,0.7199572212174594,2519424,7.4825436290199665,6.3384329116496465,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.55,0.5724887966636701,0.44928574080852124,0.5034595082980646,0.7110754050356294,2519424,7.4825436290199665,5.872254928110552,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.6,0.5915721588905865,0.4272240699777739,0.4961421297907664,0.7016842746792735,2519424,7.4825436290199665,5.403774831072499,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.65,0.6119382587024681,0.40377790862362545,0.48652794600312554,0.6915344013416599,2519424,7.4825436290199665,4.937239623024945,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.7,0.6327532391310148,0.3774460658720434,0.4728378243678772,0.6798642496383611,2519424,7.4825436290199665,4.4634408499720575,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.75,0.6564868658512132,0.34733207084772194,0.45430293106498715,0.666316535851377,2519424,7.4825436290199665,3.958841385967586,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.8,0.6832214296519543,0.3114520175899256,0.4278604064797744,0.6498864364739736,2519424,7.4825436290199665,3.4109780648275163,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.85,0.7173373995325771,0.2670157068062827,0.38917000722875733,0.629253071895342,2519424,7.4825436290199665,2.7852398008433674,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.9,0.7625142095566618,0.20637396096903726,0.32483228200835773,0.6005877776849218,2519424,7.4825436290199665,2.025145430066555,0.053347543396992506,0.5323791396257558,0.9091759727898215
0.95,0.8393275406120136,0.1178514404536461,0.20668226450901683,0.5580134144162523,2519424,7.4825436290199665,1.0506369709901946,0.053347543396992506,0.5323791396257558,0.9091759727898215
