fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
fold_2023,1,0.8777881040892194,0.32892216611527075,0.4785307156428119,0.6616436082863544,52416,10.956578144078144,4.105616605616605,0.06839104539292357,0.7394848060078264,0.9539181131280936
fold_2023,2,0.8503616636528029,0.32752916594114573,0.4729101194217473,0.6602186356348542,52416,10.956578144078144,4.22008547008547,0.06932535946112736,0.710662142009882,0.9441196624397322
fold_2023,3,0.8469000421762969,0.34964304370538046,0.4949470051762386,0.6709327638984126,52416,10.956578144078144,4.523427960927961,0.06633581153447621,0.7291556049300075,0.9509692956436001
fold_2023,4,0.8363555948695267,0.32927041615880204,0.4725137431284358,0.6606714603023136,52416,10.956578144078144,4.313568376068376,0.06762372859002777,0.7206564201618952,0.9494794863894973
fold_2023,5,0.82951347004423,0.35921991990248997,0.5013365735115431,0.6750677192553395,52416,10.956578144078144,4.7447344322344325,0.06548216521818728,0.7065217137535842,0.9426142195022644
fold_2023,6,0.8114380439287194,0.3409367926170991,0.4801373222167729,0.665594057825915,52416,10.956578144078144,4.603556166056166,0.06741139439817623,0.6891169850914236,0.9394451407484602
fold_2023,7,0.7899782135076253,0.31568866446108307,0.4511072406071162,0.652680747288498,52416,10.956578144078144,4.378434065934066,0.07063784674755604,0.6565086719523567,0.9335790287021779
fold_2023,8,0.7587700303161542,0.30506703813337976,0.43517138599105815,0.6465664717373989,52416,10.956578144078144,4.405143467643468,0.07330344843817097,0.6111584514588099,0.914149190048543
fold_2023,9,0.7495784148397976,0.30959428869928607,0.43820086260012325,0.6484337222426433,52416,10.956578144078144,4.525335775335775,0.07270852600891434,0.6194708007940292,0.9197327560519116
fold_2023,10,0.7162334895611419,0.2927041615880202,0.41557478368355993,0.6392173347952528,52416,10.956578144078144,4.477640415140415,0.07588629874450992,0.5790708123784339,0.9076607245898298
fold_2023,11,0.7166266986410871,0.3122061640257705,0.43493026076409946,0.6485076842454394,52416,10.956578144078144,4.773351648351648,0.0732125572597727,0.5908636373497838,0.9117159670018515
fold_2023,12,0.7043870438704387,0.29909470752089135,0.4198949040694122,0.6418232365167021,52416,10.958485958485959,4.653159340659341,0.07497658743641178,0.5670477915581172,0.9019303683240021
fold_2023,13,0.6516995383969786,0.2703220191470844,0.38213582677165353,0.62626897811932,52416,10.960393772893774,4.546321733821734,0.07927015084673344,0.5248826372362142,0.8960525317874718
fold_2023,14,0.6491982792334767,0.2888966237382527,0.3998554739250873,0.6348382840139731,52416,10.962301587301587,4.878281440781441,0.07768558659123297,0.5333886679754959,0.8929483388300568
