fsa,required_rows_h0_h24,available_complete_rows,missing_rows,status
L4T,25,25,0,PASS
M5R,25,25,0,PASS
M5S,25,25,0,PASS
M6G,25,25,0,PASS
M9R,25,25,0,PASS
M9W,25,25,0,PASS
