fold,fsa,mae,rmse,mape,wape,bias,n_observations
fold_2023,L4T,630.171142603495,1031.8954776119208,5.168029090405078,5.574038016724011,-35.77167063297685,209664
fold_2023,M5R,428.9385676798095,609.3381223806667,5.621391895725446,5.758046027574977,42.958777923970956,209664
fold_2023,M5S,196.40464470831014,271.40048949622593,4.83906409046704,4.92620738602745,20.93936706526293,209664
fold_2023,M6G,625.0565170750194,933.555268263519,5.157067523644967,5.386810275080382,-172.6095419336681,209664
fold_2023,M9R,365.88332397591904,615.735584133283,6.098634597893081,6.600703068761417,5.0687802794451065,209664
fold_2023,M9W,1188.7182569127415,1775.1420212682046,7.530990790682754,8.336498462208588,-973.4236323929678,209664
fold_2024,L4T,672.50992487362,1079.5705034838231,5.382504536018183,5.781708349473484,-96.99747281191124,210240
fold_2024,M5R,421.2252558110058,600.5258329431982,5.526707150760713,5.612135602224414,13.918655224973332,210240
fold_2024,M5S,196.40040044965767,274.0046577347359,4.8639302756858855,4.909416683809548,18.822283514587152,210240
fold_2024,M6G,635.7272928095693,933.9190862836102,5.311312602613306,5.439897253439056,-94.62276814904614,210240
fold_2024,M9R,378.81744637033427,643.083139052221,6.173270159061946,6.632107443357624,-23.860460288764248,210240
fold_2024,M9W,767.7060867296165,1223.6944484200674,4.956273240792436,5.292544185330108,-209.15740018027034,210240
