parameter_id,n_estimators,max_depth,min_samples_leaf,max_features,mean_mae,mean_rmse,mean_mape
4,160,,5,0.7,528.7229365406798,898.0145525110289,5.411028368319841
3,160,16.0,3,0.7,535.8960811644515,905.367347313178,5.499350366111595
2,120,20.0,1,sqrt,546.8252454202972,940.928809025294,5.4900494377466265
1,120,12.0,1,sqrt,573.3049507266771,962.3768785250744,5.861283509377905
