stage,column,dtype,rows,non_null_count,missing_count,missing_pct,unique_count
after_cleaning,is_month_start,Int8,262944,262944,0,0.0,2
after_cleaning,is_month_end,Int8,262944,262944,0,0.0,2
after_cleaning,is_year_start,Int8,262944,262944,0,0.0,2
after_cleaning,is_year_end,Int8,262944,262944,0,0.0,2
after_cleaning,is_public_holiday,Int8,262944,262944,0,0.0,2
after_cleaning,holiday_name,category,262944,262944,0,0.0,14
after_cleaning,is_day_before_holiday,Int8,262944,262944,0,0.0,2
after_cleaning,is_day_after_holiday,Int8,262944,262944,0,0.0,2
after_cleaning,days_to_holiday,Int16,262944,262944,0,0.0,77
after_cleaning,days_after_holiday,Int16,262944,262944,0,0.0,77
after_cleaning,is_long_weekend,Int8,262944,262944,0,0.0,2
after_cleaning,is_daylight_saving_time,Int8,262944,262944,0,0.0,2
after_cleaning,is_dst_transition_day,Int8,262944,262944,0,0.0,2
after_cleaning,is_spring_forward_day,Int8,262944,262944,0,0.0,2
after_cleaning,is_fall_back_day,Int8,262944,262944,0,0.0,2
after_cleaning,utc_offset_hours,Int8,262944,262944,0,0.0,2
after_cleaning,date_index,Int32,262944,262944,0,0.0,1826
after_cleaning,hour_sin,float64,262944,262944,0,0.0,20
after_cleaning,hour_cos,float64,262944,262944,0,0.0,22
after_cleaning,weekday_sin,float64,262944,262944,0,0.0,7
after_cleaning,weekday_cos,float64,262944,262944,0,0.0,7
after_cleaning,month_sin,float64,262944,262944,0,0.0,11
after_cleaning,month_cos,float64,262944,262944,0,0.0,11
after_cleaning,assigned_climate_id,Int64,262944,262944,0,0.0,2
after_cleaning,assigned_station_name,category,262944,262944,0,0.0,2
after_cleaning,Longitude (x),float64,262944,262944,0,0.0,2
after_cleaning,Latitude (y),float64,262944,262944,0,0.0,2
after_cleaning,Temp (°C),float64,262944,262803,141,0.053624,564
after_cleaning,Dew Point Temp (°C),float64,262944,262800,144,0.054765,541
after_cleaning,Rel Hum (%),float64,262944,262800,144,0.054765,87
after_cleaning,Precip. Amount (mm),float64,262944,131349,131595,50.046778,108
after_cleaning,Wind Dir (10s deg),float64,262944,129276,133668,50.835159,36
after_cleaning,Wind Spd (km/h),float64,262944,131454,131490,50.006846,65
after_cleaning,Visibility (km),float64,262944,131451,131493,50.007986,30
after_cleaning,Stn Press (kPa),float64,262944,262803,141,0.053624,664
after_cleaning,Hmdx,float64,262944,46290,216654,82.395491,22
after_cleaning,Wind Chill,float64,262944,26346,236598,89.980376,34
after_cleaning,Weather,category,262944,56160,206784,78.64184,70
