fold,horizon,target,mae,rmse,mape,wape,bias,n_observations
fold_2023,1,target_h01,603.9778579059829,980.4537280916813,6.5127062891704055,6.6934437342026625,-2.3268772893772884,52416
fold_2023,2,target_h02,603.9663442460318,980.4476708333204,6.512506099919987,6.6932594840635575,-2.31536362942613,52416
fold_2023,3,target_h03,603.9371871184371,980.4331093562336,6.512032183748138,6.692889774556914,-2.286206501831502,52416
fold_2023,4,target_h04,603.902483974359,980.4168336224831,6.51145378328407,6.692460499510576,-2.2515033577533594,52416
fold_2023,5,target_h05,603.8707207722832,980.4049282132577,6.510902709616523,6.692059449897365,-2.2197401556776546,52416
fold_2023,6,target_h06,603.8446771978022,980.3973013229461,6.5104277523898455,6.6917147843251295,-2.1936965811965807,52416
fold_2023,7,target_h07,603.8233096764347,980.3916507482292,6.5100499680592545,6.691415550397081,-2.1723290598290608,52416
fold_2023,8,target_h08,603.811610958486,980.3888779911139,6.509812991453369,6.691219309224375,-2.151407967032968,52416
fold_2023,9,target_h09,603.8051873473748,980.3869578663798,6.509667796267394,6.691067580308291,-2.1536267551892525,52416
fold_2023,10,target_h10,603.7805479242978,980.3769526933653,6.509347642986119,6.690694518550772,-2.186908577533576,52416
fold_2023,11,target_h11,603.7461423992673,980.3600110336888,6.508948889456445,6.690210331696629,-2.2268086080586067,52416
fold_2023,12,target_h12,603.7075473137974,980.3413532982116,6.508563665083256,6.6896850796270115,-2.2685782967032977,52416
fold_2023,13,target_h13,603.6889327686202,980.3330799640978,6.50841669787411,6.689382846304712,-2.307484355921856,52416
fold_2023,14,target_h14,603.6821218711844,980.3309040504606,6.508412382589822,6.6892094924054915,-2.358865613553112,52416
fold_2023,15,target_h15,603.6943471459097,980.3357807591582,6.508558557854073,6.6892459387543735,-2.4288137210012186,52416
fold_2023,16,target_h16,603.7239106379732,980.3485898016771,6.508913991787625,6.689460970301779,-2.523799984737485,52416
fold_2023,17,target_h17,603.7451427045177,980.3584773210513,6.5091362696133785,6.689569149933697,-2.6328105921855927,52416
fold_2023,18,target_h18,603.7498225732601,980.3572607513229,6.509266946246034,6.689505057201684,-2.724391407203907,52416
fold_2023,19,target_h19,603.7557158119658,980.3601553013892,6.509380758581716,6.689465664733787,-2.787114621489622,52416
fold_2023,20,target_h20,603.7509481837607,980.359265641766,6.509336918713466,6.68932853942692,-2.791000839438339,52416
fold_2023,21,target_h21,603.7565037393163,980.3608360932983,6.509316953728102,6.689327560993427,-2.745762744200245,52416
