fold,fsa,mae,rmse,mape,wape,bias,n_observations
fold_2023,L4T,841.011468349359,1285.3756755048073,6.98093738986258,7.438979001343769,-2.4803633432539725,209664
fold_2023,M5R,505.76727812118435,710.8785683514125,6.647002531203801,6.789390104078942,-1.745841918498166,209664
fold_2023,M5S,238.269779265873,328.55270814097184,5.879423067031143,5.97626572543582,-0.6563692384004884,209664
fold_2023,M6G,736.0673286782663,1080.3024066694773,6.207033695725574,6.343514451828629,-2.5309609661172203,209664
fold_2023,M9R,460.03196256868137,747.728341373988,7.676142991873262,8.299187713882485,-0.8740136599511609,209664
fold_2023,M9W,841.6004225808913,1332.3638407452947,5.6680170195160695,5.902156030530885,-6.180456349206348,209664
fold_2024,L4T,878.9797441019787,1354.7948784575913,7.2008160266236825,7.556772528595027,1.1762138508371378,210240
fold_2024,M5R,507.305577435312,712.4701105337784,6.6880579945438905,6.759014691201573,1.2112785388127814,210240
fold_2024,M5S,241.22640173135466,331.25786876290516,6.006102503134716,6.02993129608622,0.5147407724505326,210240
fold_2024,M6G,758.428991152968,1096.9934591852386,6.442644110275153,6.48985159606393,1.3582938546423045,210240
fold_2024,M9R,479.8378567351598,782.852896624474,7.962868559476141,8.40071187784459,0.0803900304413951,210240
fold_2024,M9W,855.9207524733638,1351.6882660808217,5.71542286980007,5.900693611670845,0.04932077625569757,210240
