fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc
fold_2023,1,0.9593432369038312,0.21365140170642521,0.3494730845912845,0.6062686335980544,52416,10.956578144078144,0.7400160768313786,0.9335436295363
fold_2023,2,0.9506920415224913,0.19136339892042487,0.3185968981011741,0.5950710680459044,52416,10.956578144078144,0.7414221226681539,0.9394885647450072
fold_2023,3,0.9532442748091603,0.1739508967438621,0.2942129288764541,0.5864505196122627,52416,10.956578144078144,0.7072124784628155,0.9280355476793412
fold_2023,4,0.9400749063670412,0.17482152185269023,0.29481720745852297,0.5867251396892273,52416,10.956578144078144,0.7167696787268186,0.9306609376265131
fold_2023,5,0.9353574926542605,0.16628939578617447,0.2823772915434654,0.5824376509923095,52416,10.956578144078144,0.7143692142722384,0.9274867048496641
fold_2023,6,0.9348441926345609,0.17238377154797144,0.29109085563069687,0.585452700377718,52416,10.956578144078144,0.7090501452123628,0.9223954441137342
fold_2023,7,0.9364754098360656,0.15915026989378372,0.272064295282036,0.578910939373434,52416,10.956578144078144,0.6980782359194305,0.9220855610430533
fold_2023,8,0.9346246973365617,0.1344245168030646,0.23504338559902574,0.5666337654827142,52416,10.956578144078144,0.6574096181257252,0.9077524598577619
fold_2023,9,0.9229885057471264,0.13982239247779907,0.2428549826100106,0.5691934365062918,52416,10.956578144078144,0.647366827398169,0.9042664077540175
fold_2023,10,0.9177377892030848,0.12432526554065819,0.218984818279405,0.5614770115332113,52416,10.956578144078144,0.6370223038469341,0.9052261827250809
fold_2023,11,0.9072769953051644,0.13459864182483022,0.2344200151630023,0.5664530071978479,52416,10.956578144078144,0.6374066342004174,0.9054461660539522
fold_2023,12,0.8720200752823086,0.1209958217270195,0.21250573306833817,0.5594051786043394,52416,10.958485958485959,0.5925792626410383,0.8947300701696567
fold_2023,13,0.8683181225554107,0.11592689295039164,0.20454545454545456,0.556881404093417,52416,10.960393772893774,0.577972204154486,0.885221618455086
fold_2023,14,0.8526048284625158,0.11677688827010094,0.20541864380835756,0.5571456757613629,52416,10.962301587301587,0.5722560706450733,0.8810130761630994
fold_2023,15,0.8626974483596598,0.12354271793979467,0.2161339421613394,0.5605607052168707,52416,10.964209401709402,0.5769446435566341,0.8822022438861652
fold_2023,16,0.8606356968215159,0.12247738343771747,0.21443801401157478,0.5600172980443923,52416,10.966117216117215,0.5798690789985587,0.8884176974603588
fold_2023,17,0.8455772113943029,0.09808695652173913,0.17578307620383357,0.5479398910667668,52416,10.969932844932845,0.5559761622346301,0.8787478305590701
fold_2023,18,0.824773413897281,0.09492350486787204,0.17025257249766138,0.5462188242666122,52416,10.973748473748474,0.5583247029252421,0.8863518234222961
fold_2023,19,0.8683274021352313,0.12721584984358708,0.22191905411550705,0.5624185202670423,52416,10.977564102564102,0.5574387278272862,0.8725084261740639
fold_2023,20,0.8680465717981889,0.11659426585577759,0.20557598039215685,0.557204143064834,52416,10.979471916971917,0.563950781011638,0.8790757730895621
fold_2023,21,0.8600543478260869,0.10997220291869354,0.19500924214417745,0.553882372355189,52416,10.98137973137973,0.5752984137549121,0.883971822987519
fold_2023,22,0.8897849462365591,0.17248566961959355,0.28895678742907027,0.5849247611262631,52416,10.983287545787546,0.6009020980677476,0.8905575505792076
fold_2023,23,0.8782383419689119,0.11776967170401251,0.20768877316587533,0.5578775275084926,52416,10.983287545787546,0.5681032041973325,0.8807194178997537
fold_2023,24,0.8994307400379506,0.16466909848879624,0.27837321979151375,0.5811986483463935,52416,10.983287545787546,0.6042618630092769,0.8904074812588413
fold_2024,1,0.8994252873563219,0.5942097769340294,0.7156330380108602,0.795717458581775,52560,4.00875190258752,0.867893512933726,0.9928529911032623
fold_2024,2,0.8796829971181557,0.5794969150450878,0.6987124463519313,0.7880934518737223,52560,4.00875190258752,0.8443381548758028,0.9912101251131761
fold_2024,3,0.8728549141965679,0.5310868533459896,0.6603717910888167,0.7639280618780371,52560,4.00875190258752,0.8335650195217305,0.9902848724020271
fold_2024,4,0.854344122657581,0.4760322733744661,0.6113989637305699,0.7363214901845474,52560,4.00875190258752,0.8059938524289304,0.9889687330272309
fold_2024,5,0.8411297440423654,0.45230185097294734,0.5882716049382716,0.724367087062594,52560,4.00875190258752,0.7787708087891331,0.9872253303438197
fold_2024,6,0.8270893371757925,0.40863787375415284,0.5470139771283354,0.7025350984531968,52560,4.00875190258752,0.7474889130291055,0.984346020592116
fold_2024,7,0.7859154929577464,0.3972472710014238,0.5277427490542245,0.6963641068304643,52560,4.00875190258752,0.716756712924947,0.9824995272306092
fold_2024,8,0.7757281553398059,0.37921214997626956,0.5094038890659867,0.6873168156774893,52560,4.00875190258752,0.6969790308999506,0.9809443386440444
fold_2024,9,0.761954261954262,0.34788799240626483,0.47768002606712284,0.6716745573194188,52560,4.00875190258752,0.656546740886358,0.9779966733478218
fold_2024,10,0.7336108220603538,0.33459895586141436,0.4595827900912647,0.6647624632834117,52560,4.00875190258752,0.6354273529515412,0.97726059424161
fold_2024,11,0.7072916666666667,0.3222591362126246,0.442777958917509,0.6583447981223669,52560,4.00875190258752,0.6152294415971702,0.9757552342271663
fold_2024,12,0.7125867195242814,0.3412434741338396,0.4614890885750963,0.6677477751617804,52560,4.00875190258752,0.616287224794742,0.9756558216634181
fold_2024,13,0.7035984848484849,0.35263407688656856,0.4698071451153968,0.6732151416284269,52560,4.00875190258752,0.6110042713221983,0.9743647000510448
fold_2024,14,0.6952469711090401,0.3540579022306597,0.4691823899371069,0.6737883113119485,52560,4.00875190258752,0.6013651892748506,0.9741796655006166
fold_2024,15,0.7158098933074685,0.3502610346464167,0.47036328871892924,0.6722268247776709,52560,4.00875190258752,0.6151797179406596,0.975023270658108
fold_2024,16,0.7065637065637066,0.34741338395823446,0.4657970092268533,0.6706939870854538,52560,4.00875190258752,0.6130645102734937,0.975356784382098
fold_2024,17,0.7131857555341675,0.3515180265654649,0.47092469018112487,0.6728057111341555,52560,4.010654490106545,0.6298503381029622,0.9758589466968134
fold_2024,18,0.7122171945701358,0.3733396584440228,0.4898848428260193,0.6835183188755435,52560,4.010654490106545,0.6283301572662409,0.9757151987400127
fold_2024,19,0.6886446886446886,0.3567362428842505,0.47,0.6749985820779771,52560,4.010654490106545,0.6196918190028693,0.9764261719219547
fold_2024,20,0.6828621908127208,0.36669829222011385,0.47716049382716047,0.6797913089579123,52560,4.010654490106545,0.6012222601870764,0.9758575268942573
fold_2024,21,0.688588007736944,0.3377609108159393,0.4532145130490134,0.6656893034219236,52560,4.010654490106545,0.6043930614097617,0.9754238195253804
fold_2024,22,0.6782945736434108,0.33206831119544594,0.445859872611465,0.6627438995127313,52560,4.010654490106545,0.5959988327999824,0.9754412050546927
fold_2024,23,0.6860346585117227,0.3192599620493359,0.4357397215927485,0.6565775747771455,52560,4.010654490106545,0.6036791098169524,0.9758276828325824
fold_2024,24,0.691089108910891,0.33111954459203036,0.4477228992944195,0.6624677244089145,52560,4.010654490106545,0.6046693060219336,0.9757214703181907
