parameter_id,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,mean_pr_auc,mean_f1,mean_recall
3,0.08,160,31,40,1.0,0.6709512077053491,0.4108661772219187,0.2943148529303567
2,0.05,200,31,30,0.5,0.6640980186267466,0.39026448487884435,0.274295907785249
4,0.1,120,15,30,1.0,0.663852420801463,0.3922377161296385,0.27592818774340544
1,0.05,160,15,20,0.0,0.6479350280127333,0.3604527132407669,0.2462697446919304
