fold,fsa,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc
fold_2023,L4T,0.6504474272930649,0.29191767068273095,0.402979902979903,0.6444394848940687,209664,1.90018315018315,0.4682116555077829,0.9412666052190091
fold_2023,M5R,0.8041811846689896,0.27955426356589147,0.4148840553658098,0.6390935532370949,209664,1.9688644688644688,0.5963317642158453,0.9693058365848054
fold_2023,M5S,0.6742700729927007,0.446256038647343,0.5370639534883721,0.7213979658228573,209664,1.5796703296703296,0.6033975624458543,0.9798452858236889
fold_2023,M6G,0.9437166424065987,0.16640999315537303,0.28292966761218996,0.582912031773872,209664,5.5746336996337,0.644767010253721,0.9420738718576691
fold_2023,M9R,0.8601769911504424,0.20672054444917057,0.3333333333333333,0.6027754076318436,209664,3.3639537545787546,0.5649192208654934,0.940455218318668
fold_2023,M9W,0.9907893673749697,0.11378228919239905,0.20412307641090943,0.5563317067821292,209664,51.4041514041514,0.896260693885092,0.8931993554549372
fold_2024,L4T,0.7850375694217576,0.4086734693877551,0.5375237669164523,0.7027268306030574,210240,2.7968036529680362,0.7151015812521346,0.9880844648732463
fold_2024,M5R,0.6878483835005574,0.3497732426303855,0.4637354378053363,0.6735320797307661,210240,1.678082191780822,0.5963132216021668,0.9875476698977771
fold_2024,M5S,0.5697602950215119,0.3245798319327731,0.41356234664287306,0.6606022254984624,210240,1.3584474885844748,0.509879960361478,0.9877070979898344
fold_2024,M6G,0.7373093997297819,0.49895506792058514,0.5951546311443484,0.7461184335377518,210240,3.6415525114155254,0.6996304322315441,0.9811346500651499
fold_2024,M9R,0.8108838286375917,0.2491698292220114,0.3812029393087181,0.6233708893989229,210240,4.010654490106545,0.6595556470770617,0.9759225116568611
fold_2024,M9W,0.7812818769126147,0.41356191504679624,0.5408379428033424,0.699938454757676,210240,10.570776255707763,0.7272857018285772,0.9612794035738055
