task,horizon,total_mean_abs_shap,weather_mean_abs_shap,weather_share_pct
rf,1,4606.231147544588,430.27253521790925,9.341097340442234
rf,6,4423.671734955503,330.9675952103284,7.481739492445806
rf,12,4415.429003433839,216.14753533103425,4.895278242792224
rf,18,4296.43779456997,136.8281034305288,3.1846871751165184
rf,24,4151.461358498596,97.34870737755753,2.344926255384064
xgb,1,12.355498489412577,2.6017458038385177,21.05739243194399
xgb,6,10.932020173518428,1.914799929249178,17.515517707217214
xgb,12,10.364120157399489,1.7264660615765022,16.658105419048887
xgb,18,9.564064494789575,1.539440822849186,16.096094120735604
xgb,24,9.569503115622986,1.4821028383278947,15.487772148882446
