task,horizon,feature,feature_family,importance,importance_pct
rf,1,target_lag_24h,demand_history,0.682467385795658,68.24673857956579
rf,1,target_lag_48h,demand_history,0.17353710651884066,17.353710651884064
rf,1,target_lag_168h,demand_history,0.07229308695091563,7.229308695091562
rf,1,origin__Temp (°C),weather,0.029476417955023523,2.9476417955023515
rf,1,origin_rolling_mean_24h,demand_history,0.022634107198675254,2.263410719867525
rf,1,origin_rolling_std_24h,demand_history,0.004765334717382439,0.4765334717382438
rf,1,origin__reported_premise_count,context,0.002321780054216557,0.23217800542165565
rf,1,fsa,spatial,0.0020818020054424007,0.20818020054424002
rf,1,origin_rolling_mean_168h,demand_history,0.001982578136786885,0.19825781367868844
rf,1,target_hour,calendar_time,0.0014307960586071907,0.14307960586071905
rf,1,target_hour_sin,calendar_time,0.0013197173727079487,0.13197173727079484
rf,1,target_hour_cos,calendar_time,0.0009897057827246804,0.09897057827246802
rf,1,origin__Rel Hum (%),weather,0.0008411476828340648,0.08411476828340646
rf,1,origin__Stn Press (kPa),weather,0.0007818088108211058,0.07818088108211056
rf,1,target_weekday_sin,calendar_time,0.0006831882995786428,0.06831882995786426
rf,1,target_weekday,calendar_time,0.000554782712332531,0.05547827123325309
rf,1,target_month_cos,calendar_time,0.0004917902075108905,0.04917902075108904
rf,1,target_month,calendar_time,0.0003420542910965478,0.034205429109654774
rf,1,target_weekday_cos,calendar_time,0.00032715148501888706,0.032715148501888704
rf,1,target_month_sin,calendar_time,0.00029116166829376225,0.02911616682937622
rf,1,target_season,calendar_time,0.00026512280740967976,0.02651228074096797
rf,1,target_is_weekend,calendar_time,0.00012197348812281356,0.012197348812281354
rf,2,target_lag_24h,demand_history,0.6891573126175351,68.91573126175352
rf,2,target_lag_48h,demand_history,0.17068304128410378,17.06830412841038
rf,2,target_lag_168h,demand_history,0.07286327624613485,7.286327624613486
rf,2,origin__Temp (°C),weather,0.025992105865239624,2.599210586523963
rf,2,origin_rolling_mean_24h,demand_history,0.02100042949203755,2.1000429492037553
rf,2,origin_rolling_std_24h,demand_history,0.004413435098744974,0.4413435098744975
rf,2,origin__reported_premise_count,context,0.0026080621172233512,0.26080621172233515
rf,2,fsa,spatial,0.0021788516921911133,0.21788516921911139
rf,2,origin_rolling_mean_168h,demand_history,0.0020424508340057376,0.20424508340057382
rf,2,target_hour,calendar_time,0.0014787676213929366,0.1478767621392937
rf,2,target_hour_cos,calendar_time,0.0013728270240237846,0.13728270240237847
rf,2,target_hour_sin,calendar_time,0.0010031392922294202,0.10031392922294205
rf,2,origin__Rel Hum (%),weather,0.0009794314514518245,0.09794314514518247
rf,2,origin__Stn Press (kPa),weather,0.0009214047289573403,0.09214047289573404
rf,2,target_weekday_sin,calendar_time,0.0007388401499065263,0.07388401499065264
rf,2,target_weekday,calendar_time,0.0006118608087219029,0.0611860808721903
rf,2,target_month_cos,calendar_time,0.0005041061657027877,0.05041061657027878
rf,2,target_weekday_cos,calendar_time,0.00037808598845433917,0.03780859884543393
rf,2,target_month,calendar_time,0.0003750632774440232,0.03750632774440233
rf,2,target_month_sin,calendar_time,0.00031713002455726,0.031713002455726
rf,2,target_season,calendar_time,0.00025169530599432777,0.025169530599432784
rf,2,target_is_weekend,calendar_time,0.00012868291394719573,0.012868291394719575
rf,3,target_lag_24h,demand_history,0.691894940945735,69.1894940945735
rf,3,target_lag_48h,demand_history,0.1682580332566854,16.825803325668538
rf,3,target_lag_168h,demand_history,0.07437459641448586,7.437459641448586
rf,3,origin__Temp (°C),weather,0.022744715707236223,2.2744715707236223
rf,3,origin_rolling_mean_24h,demand_history,0.020585182468563373,2.0585182468563374
