task,horizon,feature_family,importance_pct
rf,1,calendar_time,0.6817444173403573
rf,1,context,0.23217800542165565
rf,1,demand_history,95.76795993182587
rf,1,spatial,0.20818020054424002
rf,1,weather,3.1099374448678687
rf,2,calendar_time,0.7160198572374505
rf,2,context,0.26080621172233515
rf,2,demand_history,96.0159945572562
rf,2,spatial,0.21788516921911139
rf,2,weather,2.7892942045648796
rf,3,calendar_time,0.8390741722536522
rf,3,context,0.26935392724061324
rf,3,demand_history,96.1883562807945
rf,3,spatial,0.20279608228857532
rf,3,weather,2.5004195374226765
rf,4,calendar_time,0.9712870581712404
rf,4,context,0.2658520087690532
rf,4,demand_history,96.53326170007917
rf,4,spatial,0.18172756565781387
rf,4,weather,2.047871667322722
rf,5,calendar_time,1.0455275460704652
rf,5,context,0.27573130702935206
rf,5,demand_history,96.80851313045827
rf,5,spatial,0.16751733454676282
rf,5,weather,1.7027106818951436
rf,6,calendar_time,1.0952024282077977
rf,6,context,0.28149249464156156
rf,6,demand_history,96.91097770423191
rf,6,spatial,0.15708818536785957
rf,6,weather,1.555239187550875
rf,7,calendar_time,1.072313755845044
rf,7,context,0.2895413866335967
rf,7,demand_history,97.05795732458947
rf,7,spatial,0.14517768030581077
rf,7,weather,1.4350098526260764
rf,8,calendar_time,1.0300503604835975
rf,8,context,0.2950621805074745
rf,8,demand_history,97.19870990607649
rf,8,spatial,0.13639280418745814
rf,8,weather,1.3397847487449708
rf,9,calendar_time,1.0347671576055926
rf,9,context,0.3102477178681772
rf,9,demand_history,97.26382730869813
rf,9,spatial,0.129119229950004
rf,9,weather,1.262038585878103
rf,10,calendar_time,0.9905272341772275
rf,10,context,0.31855264942835854
rf,10,demand_history,97.36322940195039
rf,10,spatial,0.12414564333376932
rf,10,weather,1.2035450711102607
rf,11,calendar_time,0.9859166343715431
rf,11,context,0.3234686059100321
rf,11,demand_history,97.40499546887135
rf,11,spatial,0.11899842825411618
rf,11,weather,1.1666208625929597
rf,12,calendar_time,0.948181079118342
rf,12,context,0.32628300079984207
rf,12,demand_history,97.47052735875886
rf,12,spatial,0.11602769776110468
rf,12,weather,1.1389808635618563
rf,13,calendar_time,0.9506588725373913
rf,13,context,0.3300258392995573
rf,13,demand_history,97.49988470183787
rf,13,spatial,0.10876656471649959
rf,13,weather,1.11066402160869
rf,14,calendar_time,0.9833819074198725
rf,14,context,0.33465622473601403
rf,14,demand_history,97.50582900508294
rf,14,spatial,0.10187241300671718
rf,14,weather,1.0742604497544526
rf,15,calendar_time,1.0110937993374878
rf,15,context,0.33693218532565133
rf,15,demand_history,97.51462934226505
rf,15,spatial,0.10258017990260541
rf,15,weather,1.034764493169226
rf,16,calendar_time,0.9584029509185907
rf,16,context,0.3425166612119015
rf,16,demand_history,97.60050690724897
rf,16,spatial,0.09842129913768623
rf,16,weather,1.0001521814828687
rf,17,calendar_time,0.9537760173641903
rf,17,context,0.34542240303935523
rf,17,demand_history,97.64038208099461
rf,17,spatial,0.0976071471327863
rf,17,weather,0.9628123514690681
rf,18,calendar_time,0.9513666110194069
rf,18,context,0.3459081618533293
rf,18,demand_history,97.66713448205417
rf,18,spatial,0.09829890354062641
rf,18,weather,0.9372918415324709
rf,19,calendar_time,1.0215419981228187
rf,19,context,0.3485106373854819
rf,19,demand_history,97.60903417659851
rf,19,spatial,0.0976500614729642
rf,19,weather,0.9232631264202144
rf,20,calendar_time,0.9587275586625992
rf,20,context,0.348741137345247
rf,20,demand_history,97.68010149263235
rf,20,spatial,0.1002511378549641
rf,20,weather,0.9121786735048574
rf,21,calendar_time,0.9526253634984182
rf,21,context,0.35072971476551285
rf,21,demand_history,97.69212981947406
rf,21,spatial,0.09933364969776541
rf,21,weather,0.9051814525642254
rf,22,calendar_time,0.941748660111556
rf,22,context,0.34969760750383533
rf,22,demand_history,97.68883667736796
rf,22,spatial,0.09872549870511085
rf,22,weather,0.9209915563115313
rf,23,calendar_time,0.9513081167233689
rf,23,context,0.3474063397439181
rf,23,demand_history,97.64839381298948
rf,23,spatial,0.0977336129381967
rf,23,weather,0.955158117605047
