fold,fsa,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc
fold_2023,L4T,0.6410256410256411,0.30120481927710846,0.4098360655737705,0.6489688040376207,209664,1.90018315018315,0.4866138880682952,0.9551113572824944
fold_2023,M5R,0.9565217391304348,0.12790697674418605,0.22564102564102564,0.5638951044393513,209664,1.9688644688644688,0.4478437288658038,0.9425101301592085
fold_2023,M5S,0.0,0.0,0.0,0.5,209664,1.5796703296703296,0.3080861792344397,0.9082434249351699
fold_2023,M6G,0.7939914163090128,0.15828199863107462,0.2639463546868312,0.5779287311618218,209664,5.5746336996337,0.5576823429491264,0.9401449837827675
fold_2023,M9R,0.8536585365853658,0.11909825606125053,0.20903322135125046,0.559193767265415,209664,3.3639537545787546,0.5252266938561029,0.94523573648612
fold_2023,M9W,0.9156281499129478,0.37085250890736343,0.5278944448846977,0.6673524871798124,209664,51.4041514041514,0.8844450900848948,0.9122759281822725
fold_2024,L4T,0.4437869822485207,0.30612244897959184,0.36231884057971014,0.6475415533212698,210240,2.7968036529680362,0.36710719213490506,0.961233717209726
fold_2024,M5R,1.0,0.04081632653061224,0.0784313725490196,0.5204081632653061,210240,1.678082191780822,0.35872644832434064,0.9543129580902114
fold_2024,M5S,0.0,0.0,0.0,0.5,210240,1.3584474885844748,0.13063234790797837,0.8285481500589278
fold_2024,M6G,0.7931034482758621,0.2884012539184953,0.42298850574712643,0.642778994451251,210240,3.6415525114155254,0.5942864776946457,0.9710710252843605
fold_2024,M9R,0.7884615384615384,0.11669829222011385,0.20330578512396694,0.5576950590570164,210240,4.010654490106545,0.5796810008389944,0.9636809575639257
fold_2024,M9W,0.7577092511013216,0.3714902807775378,0.4985507246376812,0.6787244612976278,210240,10.570776255707763,0.6658341426389277,0.9417850216353383
